model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
SC-INR-EQ,bsd100,101087.png,x16,x4,46.748455026239924,0.004598087682144205,0.0095718614757061,0.008433178067207336,0.0003386495809536427
LTE,bsd100,101087.png,x30,x4,37.912937473072546,0.012716076335368611,0.020694784820079803,0.02090460993349552,0.0042755682952702045
LTE-NoCellPhase,bsd100,101087.png,x30,x4,65.86358014242006,0.0005091209787622987,0.0010520766954869032,0.0009342905250377953,7.631284097442403e-05
LTE-PhaseZ,bsd100,101087.png,x30,x4,66.21441454437242,0.0004889666879751812,0.0010033100843429565,0.0008956156088970602,7.270227797562256e-05
SC-INR,bsd100,101087.png,x30,x4,46.660015134440826,0.004645144658441926,0.008789388462901115,0.008979548700153828,0.0009673635940998793
SC-INR-NoSinc,bsd100,101087.png,x30,x4,66.02441175470922,0.0004997806209099511,0.0010259076952934265,0.0009071272215805948,7.888559048296884e-05
SC-INR-EQ,bsd100,101087.png,x30,x4,47.076619944789314,0.004427606361500125,0.008695167489349842,0.008003645576536655,0.0009597516618669033
LTE,bsd100,102061.png,x8,x4,47.320927453607794,0.004304806425876894,0.008547046221792698,0.008516197092831135,0.0004943405510857701
LTE-NoCellPhase,bsd100,102061.png,x8,x4,63.76850975298229,0.0006479992636319309,0.0012514095287770033,0.0012958366423845291,0.00022968951088842005
LTE-PhaseZ,bsd100,102061.png,x8,x4,63.79219700268735,0.0006462345152311101,0.0012492297682911158,0.0012844050070270896,0.0002436293289065361
SC-INR,bsd100,102061.png,x8,x4,51.884923149007385,0.002545387122100598,0.0051126438193023205,0.005139905959367752,0.00032688258215785027
SC-INR-NoSinc,bsd100,102061.png,x8,x4,62.7015201249387,0.0007326962921157156,0.001404235721565783,0.0014740837505087256,0.0003177104808855802
SC-INR-EQ,bsd100,102061.png,x8,x4,52.32807203890944,0.0024187801622197287,0.0050347032956779,0.004986346233636141,0.00032732426188886166
LTE,bsd100,102061.png,x16,x4,44.713453919652395,0.005812022728978858,0.01078494917601347,0.010392678901553154,0.0009711800958029926
LTE-NoCellPhase,bsd100,102061.png,x16,x4,75.26416785855045,0.00017250099603648272,0.0003200539213139564,0.00031540385680273175,9.09185255295597e-05
LTE-PhaseZ,bsd100,102061.png,x16,x4,75.83772133612763,0.00016147821246171215,0.0002837646461557597,0.0002861181856133044,0.00011074399662902579
SC-INR,bsd100,102061.png,x16,x4,53.05487059238659,0.0022246232426720728,0.00421086885035038,0.004338822327554226,0.00033920156420208514
SC-INR-NoSinc,bsd100,102061.png,x16,x4,74.35680481222558,0.00019149602319500387,0.0003168064577039331,0.0003282577672507614,0.00017642273451201618
SC-INR-EQ,bsd100,102061.png,x16,x4,53.83544697466968,0.002033422624132649,0.004165143705904484,0.004126475192606449,0.00024922986631281674
LTE,bsd100,102061.png,x30,x4,40.391590671120824,0.009559176191376821,0.013923239894211292,0.01396427396684885,0.003960699308663607
LTE-NoCellPhase,bsd100,102061.png,x30,x4,70.50261171361667,0.0002984485095156386,0.0005709781544283032,0.00040478823939338326,7.651400665054098e-05
LTE-PhaseZ,bsd100,102061.png,x30,x4,70.59439104646958,0.00029531155991743157,0.0005679184105247259,0.00040533029823563993,7.582869147881866e-05
SC-INR,bsd100,102061.png,x30,x4,51.48308162345353,0.0026659126708621183,0.004190261010080576,0.0032886068802326918,0.0006041789310984313
SC-INR-NoSinc,bsd100,102061.png,x30,x4,69.7236634112827,0.00032645011763429894,0.0006319944513961673,0.0004476688045542687,9.696524648461491e-05
SC-INR-EQ,bsd100,102061.png,x30,x4,50.81260802467743,0.0028798482168993955,0.005259376484900713,0.003570794127881527,0.0006839445559307933
LTE,bsd100,103070.png,x8,x4,52.588954703489904,0.0023472117190256898,0.003914764616638422,0.004054706078022718,0.0008769282139837742
LTE-NoCellPhase,bsd100,103070.png,x8,x4,66.44353471533461,0.00047623714306912015,0.0008676072466187179,0.0009022914455272257,0.00014282867778092623
LTE-PhaseZ,bsd100,103070.png,x8,x4,66.399603449666,0.00047865194446025287,0.0008739502518437803,0.0009095012792386115,0.0001549542066641152
SC-INR,bsd100,103070.png,x8,x4,56.41775939508455,0.001510469743440113,0.0028111895080655813,0.0028551786672323942,0.00042952652438543737
SC-INR-NoSinc,bsd100,103070.png,x8,x4,67.31030884193996,0.0004310072325194168,0.0007919344352558255,0.0008057383820414543,0.00017928806482814252
SC-INR-EQ,bsd100,103070.png,x8,x4,56.159091498643086,0.001556128386472653,0.0030822264961898327,0.003118705004453659,0.00037952818092890084
LTE,bsd100,103070.png,x16,x4,46.45546848023783,0.004755832780177643,0.006946490611881018,0.006283682305365801,0.002819380257278681
LTE-NoCellPhase,bsd100,103070.png,x16,x4,76.10546015160088,0.0001565766483561179,0.0002742413489613682,0.0002602362947072834,5.4344105592463166e-05
LTE-PhaseZ,bsd100,103070.png,x16,x4,76.99916038957325,0.0001412674092359668,0.00025549973361194134,0.00023858927306719124,4.956763586960733e-05
SC-INR,bsd100,103070.png,x16,x4,54.57787841398779,0.0018668356221024588,0.003091893857344985,0.003002563491463661,0.000901749066542834
SC-INR-NoSinc,bsd100,103070.png,x16,x4,75.89039011820859,0.00016050201685723146,0.0002848920994438231,0.000263831636402756,6.190829299157485e-05
SC-INR-EQ,bsd100,103070.png,x16,x4,54.433121022312115,0.001898208653366934,0.0035872552543878555,0.0034306172747164965,0.0007535191834904253
