model,observation_scale,frequency_bin,n_rows,omega_mag_mean,coef_pair_mag_mean,response_mean,response_abs_mean,active_response_mean,active_response_abs_mean,effective_pair_mag_mean,response_neg_frac,active_response_neg_frac,effective_over_coef_mag_mean,effective_energy_ratio
SC-INR-NoSinc,x16,high,1,0.8514477014541626,0.30800944566726685,0.993610143661499,0.993610143661499,1.0,1.0,0.30800944566726685,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x16,low,1,0.05706625059247017,0.4144420623779297,0.9999716877937317,0.9999716877937317,1.0,1.0,0.4144420623779297,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x16,mid,1,0.2633681893348694,0.29378995299339294,0.9995205998420715,0.9995205998420715,1.0,1.0,0.29378995299339294,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x30,all,1,0.39060699939727783,0.33875179290771484,0.9993432760238647,0.9993432760238647,1.0,1.0,0.33875179290771484,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x30,high,1,0.8514477014541626,0.30800944566726685,0.9981743097305298,0.9981743097305298,1.0,1.0,0.30800944566726685,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x30,low,1,0.05706625059247017,0.4144420623779297,0.9999919533729553,0.9999919533729553,1.0,1.0,0.4144420623779297,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x30,mid,1,0.2633681893348694,0.29378995299339294,0.9998635649681091,0.9998635649681091,1.0,1.0,0.29378995299339294,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x4,all,1,0.39060699939727783,0.33875179290771484,0.966151237487793,0.966151237487793,1.0,1.0,0.33875179290771484,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x4,high,1,0.8514477014541626,0.30800944566726685,0.9065467715263367,0.9065467715263367,1.0,1.0,0.30800944566726685,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x4,low,1,0.05706625059247017,0.4144420623779297,0.999546468257904,0.999546468257904,1.0,1.0,0.4144420623779297,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x4,mid,1,0.2633681893348694,0.29378995299339294,0.992354154586792,0.992354154586792,1.0,1.0,0.29378995299339294,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x8,all,1,0.39060699939727783,0.33875179290771484,0.9909603595733643,0.9909603595733643,1.0,1.0,0.33875179290771484,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x8,high,1,0.8514477014541626,0.30800944566726685,0.9749090075492859,0.9749090075492859,1.0,1.0,0.30800944566726685,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x8,low,1,0.05706625059247017,0.4144420623779297,0.9998867511749268,0.9998867511749268,1.0,1.0,0.4144420623779297,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x8,mid,1,0.2633681893348694,0.29378995299339294,0.9980838298797607,0.9980838298797607,1.0,1.0,0.29378995299339294,0.0,0.0,1.0,1.0
