seed,model,dataset,scale,n,computed_mean_psnr_y,canonical_psnr,abs_diff
2,LTE,Set14,x30,10,20.44235986,19.75920000,0.68315986
2,LTE,Set14,x4,10,27.97207630,28.67680000,0.70472370
2,LTE,Set14,x6,10,26.18342946,26.48670000,0.30327054
2,LTE,Set14,x8,10,25.09197200,24.97650000,0.11547200
2,LTE,Set5,x12,5,24.57439619,24.57440000,0.00000381
2,LTE,Set5,x16,5,23.00379438,23.00380000,0.00000562
2,LTE,Set5,x2,5,38.03833007,38.03830000,0.00003007
2,LTE,Set5,x24,5,21.30884056,21.30880000,0.00004056
2,LTE,Set5,x3,5,34.46844552,34.46840000,0.00004552
2,LTE,Set5,x30,5,20.49080092,20.49080000,0.00000092
2,LTE,Set5,x4,5,32.23982372,32.23980000,0.00002372
2,LTE,Set5,x6,5,28.93405550,28.93410000,0.00004450
2,LTE,Set5,x8,5,26.98468826,26.98470000,0.00001174
2,LTE,Urban100,x12,10,21.18569823,20.87920000,0.30649823
2,LTE,Urban100,x16,10,20.24684665,19.92820000,0.31864665
2,LTE,Urban100,x2,10,33.16092331,32.25880000,0.90212331
2,LTE,Urban100,x24,10,19.10918580,18.79900000,0.31018580
2,LTE,Urban100,x3,10,28.89664847,28.30030000,0.59634847
2,LTE,Urban100,x30,10,18.60687778,18.25800000,0.34887778
2,LTE,Urban100,x4,10,26.65551277,26.22700000,0.42851277
2,LTE,Urban100,x6,10,24.11710092,23.83780000,0.27930092
2,LTE,Urban100,x8,10,22.78538710,22.48600000,0.29938710
2,SC-INR,BSD100,x12,10,23.74162742,23.48960000,0.25202742
2,SC-INR,BSD100,x16,10,22.78783876,22.62250000,0.16533876
2,SC-INR,BSD100,x2,10,32.10564727,32.15680000,0.05115273
2,SC-INR,BSD100,x24,10,21.53060811,21.39590000,0.13470811
2,SC-INR,BSD100,x3,10,29.08227441,29.10010000,0.01782559
2,SC-INR,BSD100,x30,10,20.74017326,20.68340000,0.05677326
2,SC-INR,BSD100,x4,10,27.65610747,27.59430000,0.06180747
2,SC-INR,BSD100,x6,10,25.99900106,25.84230000,0.15670106
2,SC-INR,BSD100,x8,10,24.96534959,24.79520000,0.17014959
