baseline,dataset,scale,split,n,mean_delta,median_delta,std_delta,sem_delta,q05_delta,q25_delta,q75_delta,q95_delta,win_rate
LIIF,Set14,x8,OOD,30,0.00187327,0.01156150,0.05041572,0.00920461,-0.08865084,-0.01189650,0.03246496,0.06563796,0.63333333
LIIF,Set5,x12,OOD,15,0.07209805,0.04737464,0.08100940,0.02091654,-0.03380657,0.03656911,0.14729865,0.17783899,0.93333333
LIIF,Set5,x16,OOD,15,0.05161807,0.04222253,0.10663680,0.02753350,-0.08525112,-0.00433955,0.08898003,0.24544786,0.73333333
LIIF,Set5,x2,ID,15,0.04009495,0.01855438,0.10297708,0.02658857,-0.09030219,-0.00894293,0.11041263,0.19845817,0.73333333
LIIF,Set5,x24,OOD,15,-0.00645693,0.05741683,0.14215584,0.03670448,-0.22952822,-0.11683112,0.09785837,0.16129436,0.53333333
LIIF,Set5,x3,ID,15,0.07583099,0.02317903,0.11719879,0.03026060,-0.03698075,-0.00469348,0.14343458,0.28401786,0.66666667
LIIF,Set5,x30,OOD,15,0.04977688,0.03557142,0.16039411,0.04141358,-0.21727196,-0.02878631,0.17649265,0.24585841,0.60000000
LIIF,Set5,x4,ID,15,0.06416381,0.03669413,0.10589392,0.02734169,-0.06138196,0.00522338,0.10267059,0.28029991,0.73333333
LIIF,Set5,x6,OOD,15,0.03601618,0.02170196,0.10996861,0.02839377,-0.14227092,-0.00308302,0.09278074,0.19171668,0.73333333
LIIF,Set5,x8,OOD,15,0.06290102,0.04540026,0.07134124,0.01842023,-0.03060408,0.01305376,0.10845041,0.17806179,0.86666667
LIIF,Urban100,x12,OOD,30,0.05037613,0.03231565,0.07792675,0.01422741,-0.04822390,0.01457100,0.07671970,0.19150081,0.80000000
LIIF,Urban100,x16,OOD,30,0.06094604,0.04144874,0.09907604,0.01808873,-0.04675670,-0.00423487,0.09328034,0.18899108,0.73333333
LIIF,Urban100,x2,ID,30,0.08448827,0.07805985,0.26974784,0.04924899,-0.30890950,-0.00445686,0.16845818,0.48193149,0.73333333
