baseline,seed,dataset,image,split,n_scales,mean_delta,median_delta,win_rate
LIIF,2,Urban100,img_001.png,ID,3,-0.08044543,-0.06134633,0.00000000
LIIF,2,Urban100,img_001.png,OOD,6,0.01905547,0.01367811,0.66666667
LIIF,2,Urban100,img_002.png,ID,3,-0.07121605,-0.05628485,0.00000000
LIIF,2,Urban100,img_002.png,OOD,6,0.10912671,0.11302991,1.00000000
LIIF,2,Urban100,img_003.png,ID,3,-0.03149548,-0.02834568,0.00000000
LIIF,2,Urban100,img_003.png,OOD,6,-0.00785265,-0.01499304,0.33333333
LIIF,2,Urban100,img_004.png,ID,3,-0.71159037,-0.71325274,0.00000000
LIIF,2,Urban100,img_004.png,OOD,6,-0.11328930,-0.00693743,0.50000000
LIIF,2,Urban100,img_005.png,ID,3,-0.05155018,-0.05102341,0.00000000
LIIF,2,Urban100,img_005.png,OOD,6,0.03558169,0.03098365,0.66666667
LIIF,2,Urban100,img_006.png,ID,3,-0.03320331,-0.04591180,0.33333333
LIIF,2,Urban100,img_006.png,OOD,6,0.03979209,0.03028069,0.66666667
LIIF,2,Urban100,img_007.png,ID,3,-0.02073015,-0.02496104,0.33333333
LIIF,2,Urban100,img_007.png,OOD,6,-0.03106241,-0.04200218,0.16666667
LIIF,2,Urban100,img_008.png,ID,3,-0.01908261,-0.01046756,0.33333333
LIIF,2,Urban100,img_008.png,OOD,6,0.04544781,0.04375892,1.00000000
LIIF,2,Urban100,img_009.png,ID,3,0.14149747,0.11442833,1.00000000
LIIF,2,Urban100,img_009.png,OOD,6,-0.03465195,-0.05586092,0.33333333
LIIF,2,Urban100,img_010.png,ID,3,-0.35916740,-0.38302962,0.00000000
LIIF,2,Urban100,img_010.png,OOD,6,-0.04558269,-0.04691804,0.16666667
LIIF,3,BSD100,101085.png,ID,3,-0.00014488,-0.00268917,0.33333333
LIIF,3,BSD100,101085.png,OOD,6,-0.04063167,-0.00483106,0.50000000
LIIF,3,BSD100,101087.png,ID,3,0.02268131,0.02288340,0.66666667
LIIF,3,BSD100,101087.png,OOD,6,0.02613100,-0.00203347,0.50000000
LIIF,3,BSD100,102061.png,ID,3,0.02748442,0.03432314,0.66666667
LIIF,3,BSD100,102061.png,OOD,6,0.00750134,0.01537458,0.66666667
LIIF,3,BSD100,103070.png,ID,3,-0.01312889,-0.02020183,0.33333333
LIIF,3,BSD100,103070.png,OOD,6,0.01718796,0.00732898,0.50000000
LIIF,3,BSD100,105025.png,ID,3,-0.01163052,-0.00883662,0.00000000
LIIF,3,BSD100,105025.png,OOD,6,0.01428701,0.02154104,0.66666667
LIIF,3,BSD100,106024.png,ID,3,0.00303428,0.01337356,0.66666667
LIIF,3,BSD100,106024.png,OOD,6,0.09663758,0.11333529,0.83333333
LIIF,3,BSD100,108005.png,ID,3,-0.00836350,-0.00888279,0.00000000
LIIF,3,BSD100,108005.png,OOD,6,0.01651272,0.00768187,0.83333333
LIIF,3,BSD100,108070.png,ID,3,0.00133551,0.00646832,0.66666667
LIIF,3,BSD100,108070.png,OOD,6,0.00794989,0.00625685,0.66666667
LIIF,3,BSD100,108082.png,ID,3,-0.00057186,-0.00597346,0.33333333
LIIF,3,BSD100,108082.png,OOD,6,0.05302416,0.04528049,0.83333333
LIIF,3,BSD100,109053.png,ID,3,-0.01519252,-0.01360719,0.00000000
LIIF,3,BSD100,109053.png,OOD,6,0.00847781,0.00449539,0.83333333
LIIF,3,Set14,baboon.png,ID,3,0.00930587,0.00767878,1.00000000
LIIF,3,Set14,baboon.png,OOD,6,0.00337041,0.00442252,0.83333333
LIIF,3,Set14,barbara.png,ID,3,0.19661732,0.17766588,1.00000000
LIIF,3,Set14,barbara.png,OOD,6,0.01284916,0.01028300,0.66666667
LIIF,3,Set14,bridge.png,ID,3,0.00544101,0.01479953,0.66666667
LIIF,3,Set14,bridge.png,OOD,6,-0.00627777,0.00947635,0.66666667
LIIF,3,Set14,coastguard.png,ID,3,0.02248572,0.02756016,0.66666667
LIIF,3,Set14,coastguard.png,OOD,6,0.04208196,0.02329574,0.83333333
LIIF,3,Set14,comic.png,ID,3,0.02649325,0.03836817,0.66666667
LIIF,3,Set14,comic.png,OOD,6,0.00247449,-0.00054947,0.50000000
LIIF,3,Set14,face.png,ID,3,0.03335253,0.02605910,1.00000000
LIIF,3,Set14,face.png,OOD,6,0.03786940,0.01618307,0.83333333
LIIF,3,Set14,flowers.png,ID,3,0.04296073,0.05222587,1.00000000
LIIF,3,Set14,flowers.png,OOD,6,0.02560344,0.02259915,0.83333333
LIIF,3,Set14,foreman.png,ID,3,0.03865382,0.01171319,0.66666667
LIIF,3,Set14,foreman.png,OOD,6,0.01195887,-0.03483448,0.33333333
LIIF,3,Set14,lenna.png,ID,3,0.08899934,0.08178765,1.00000000
