model,dataset,source_scale,observation_scale,n,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse,source_scale_num,consistency_psnr_y_lte,consistency_rmse_y_lte,edge_consistency_rmse_lte,texture_consistency_rmse_lte,flat_consistency_rmse_lte,delta_consistency_psnr_y_vs_lte,delta_consistency_rmse_y_vs_lte,delta_edge_consistency_rmse_vs_lte,delta_texture_consistency_rmse_vs_lte,delta_flat_consistency_rmse_vs_lte
LTE,urban100,x16,x4,10,38.42576284111514,0.0130136669665439,0.0215395374223589,0.0202676185406744,0.0025552696984959,16,38.42576284111514,0.0130136669665439,0.0215395374223589,0.0202676185406744,0.0025552696984959,0.0,0.0,0.0,0.0,0.0
LTE,urban100,x30,x4,10,36.811641888276384,0.0161914933245582,0.0253751791082322,0.0239238647744059,0.0048343899019528,30,36.811641888276384,0.0161914933245582,0.0253751791082322,0.0239238647744059,0.0048343899019528,0.0,0.0,0.0,0.0,0.0
LTE,urban100,x8,x4,10,42.6573829320615,0.0079130473562277,0.0139079574029892,0.0136570843402296,0.0015179330774117,8,42.6573829320615,0.0079130473562277,0.0139079574029892,0.0136570843402296,0.0015179330774117,0.0,0.0,0.0,0.0,0.0
LTE-EQ,bsd100,x16,x4,10,44.804565732432216,0.0060908898260063,0.0104868855793029,0.0097556034103035,0.0018848450912628,16,43.43128372245256,0.0070819342642366,0.0116172360721975,0.0108287248760461,0.0027006703137885,1.373282009979654,-0.0009910444382303,-0.0011303504928945989,-0.0010731214657426005,-0.0008158252225257
LTE-EQ,bsd100,x30,x4,10,41.37173894561764,0.0089591729219315,0.0139119683299213,0.0121293008094653,0.0039535605348646,30,39.87299665203857,0.010584743256989,0.0148050347808748,0.0134859860409051,0.0065392902120947,1.4987422935790704,-0.0016255703350575006,-0.0008930664509534999,-0.0013566852314398012,-0.0025857296772301003
LTE-EQ,bsd100,x8,x4,10,50.54633322853957,0.0031337256941737,0.0054378883447498,0.0055072702467441,0.0008261255570687,8,49.26979914184147,0.0036549934583487,0.0063761233817785,0.0064134600106626,0.0009443891714909,1.2765340866980992,-0.0005212677641750004,-0.0009382350370287004,-0.0009061897639185005,-0.00011826361442220004
LTE-EQ,urban100,x16,x4,10,40.530050042509394,0.0101001455392671,0.0174904252402484,0.0173245920799672,0.0018130802258383,16,38.42576284111514,0.0130136669665439,0.0215395374223589,0.0202676185406744,0.0025552696984959,2.104287201394257,-0.0029135214272768013,-0.004049112182110497,-0.0029430264607071994,-0.0007421894726576002
LTE-EQ,urban100,x30,x4,10,39.14187451446716,0.011955195961383,0.0202854159288108,0.019795280881226,0.0029425733082462,30,36.811641888276384,0.0161914933245582,0.0253751791082322,0.0239238647744059,0.0048343899019528,2.330232626190778,-0.004236297363175202,-0.0050897631794213985,-0.0041285838931799,-0.0018918165937066005
LTE-EQ,urban100,x8,x4,10,44.44014996768412,0.0065371369284275,0.0116394507698714,0.0115599042735993,0.0013933702692156,8,42.6573829320615,0.0079130473562277,0.0139079574029892,0.0136570843402296,0.0015179330774117,1.7827670356226193,-0.0013759104278002,-0.0022685066331177995,-0.002097180066630299,-0.00012456280819610004
LTE-PhaseZ,bsd100,x16,x4,10,74.79914447087637,0.0001904338142858,0.0003605192381655,0.0003429837728617,5.50988730537938e-05,16,43.43128372245256,0.0070819342642366,0.0116172360721975,0.0108287248760461,0.0027006703137885,31.36786074842381,-0.006891500449950801,-0.011256716834032,-0.0104857411031844,-0.0026455714407347063
LTE-PhaseZ,bsd100,x30,x4,10,69.07055010519427,0.0003620862042144,0.0006731077999575,0.0005403214687248,0.0001090645651856,30,39.87299665203857,0.010584743256989,0.0148050347808748,0.0134859860409051,0.0065392902120947,29.1975534531557,-0.0102226570527746,-0.0141319269809173,-0.0129456645721803,-0.0064302256469091
LTE-PhaseZ,bsd100,x8,x4,10,64.5181406825464,0.000610676036696,0.0011353415844496,0.0011766332143452,0.0001491009837991,8,49.26979914184147,0.0036549934583487,0.0063761233817785,0.0064134600106626,0.0009443891714909,15.248341540704935,-0.0030443174216527,-0.005240781797328901,-0.0052368267963174,-0.0007952881876918
LTE-PhaseZ,urban100,x16,x4,10,69.88269455613576,0.0003391296201097,0.0006313824589597,0.0006253567029489,6.787910679122433e-05,16,38.42576284111514,0.0130136669665439,0.0215395374223589,0.0202676185406744,0.0025552696984959,31.456931715020623,-0.0126745373464342,-0.0209081549633992,-0.019642261837725498,-0.002487390591704676
LTE-PhaseZ,urban100,x30,x4,10,67.65435051123136,0.000436885688782,0.0008853950159391,0.0007780557702062,7.81964803536539e-05,30,36.811641888276384,0.0161914933245582,0.0253751791082322,0.0239238647744059,0.0048343899019528,30.842708622954973,-0.0157546076357762,-0.024489784092293097,-0.0231458090041997,-0.004756193421599147
LTE-PhaseZ,urban100,x8,x4,10,58.88166011136999,0.0011939418630053,0.0021793000982142,0.0022939302842132,0.0001707043695205,8,42.6573829320615,0.0079130473562277,0.0139079574029892,0.0136570843402296,0.0015179330774117,16.224277179308487,-0.0067191054932224,-0.011728657304775,-0.0113631540560164,-0.0013472287078912
LTE-NoCellPhase,bsd100,x16,x4,10,74.07844255223335,0.0002054413616081,0.0003865792910801,0.0003678905064589,5.194490258872975e-05,16,43.43128372245256,0.0070819342642366,0.0116172360721975,0.0108287248760461,0.0027006703137885,30.647158829780793,-0.0068764929026285,-0.011230656781117399,-0.0104608343695872,-0.00264872541119977
LTE-NoCellPhase,bsd100,x30,x4,10,69.02672692050918,0.0003626091438848,0.0006757485534762,0.0005383066512877,0.0001078751542081,30,39.87299665203857,0.010584743256989,0.0148050347808748,0.0134859860409051,0.0065392902120947,29.153730268470603,-0.0102221341131042,-0.014129286227398601,-0.012947679389617401,-0.0064314150578866
LTE-NoCellPhase,bsd100,x8,x4,10,64.59704290816069,0.0006054546237362,0.0011248096299823,0.0011656385613605,0.0001360803842544,8,49.26979914184147,0.0036549934583487,0.0063761233817785,0.0064134600106626,0.0009443891714909,15.32724376631922,-0.0030495388346125003,-0.0052513137517962005,-0.0052478214493021005,-0.0008083087872365
LTE-NoCellPhase,urban100,x16,x4,10,69.51800360036813,0.000352840108783,0.0006594091741135,0.0006492757500382,5.868072385055712e-05,16,38.42576284111514,0.0130136669665439,0.0215395374223589,0.0202676185406744,0.0025552696984959,31.092240759252995,-0.0126608268577609,-0.020880128248245398,-0.0196183427906362,-0.0024965889746453433
LTE-NoCellPhase,urban100,x30,x4,10,67.54619357523973,0.0004424122086135,0.0008981972787296,0.0007973671949002,7.313397181860637e-05,30,36.811641888276384,0.0161914933245582,0.0253751791082322,0.0239238647744059,0.0048343899019528,30.734551686963343,-0.0157490811159447,-0.0244769818295026,-0.0231264975795057,-0.004761255930134194
LTE-NoCellPhase,urban100,x8,x4,10,58.76852586312672,0.0012105572713249,0.0022228809306398,0.0023340564453974,0.0001565197133459,8,42.6573829320615,0.0079130473562277,0.0139079574029892,0.0136570843402296,0.0015179330774117,16.111142931065217,-0.006702490084902799,-0.0116850764723494,-0.011323027894832199,-0.0013614133640658
SC-INR-NoPhi,bsd100,x16,x4,10,52.66031109555429,0.0024933181160424,0.0046693260548636,0.0045451358892023,0.0005035840906202,16,43.43128372245256,0.0070819342642366,0.0116172360721975,0.0108287248760461,0.0027006703137885,9.22902737310173,-0.0045886161481942,-0.006947910017333899,-0.0062835889868438,-0.0021970862231683
SC-INR-NoPhi,bsd100,x30,x4,10,51.22991040127396,0.002946528947716,0.0048749315435998,0.0044765688478946,0.0011980743438471,30,39.87299665203857,0.010584743256989,0.0148050347808748,0.0134859860409051,0.0065392902120947,11.356913749235389,-0.007638214309273,-0.009930103237275001,-0.0090094171930105,-0.0053412158682476
