model,dataset,image,base_scale,cell_multiplier,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,weak_oracle,valid_shave
LTE,urban100,img_001.png,x4,2,34.347114575915704,0.019170978105793504,0.02941569872200489,0.012332210317254066,0.03199892118573189,False,4
LTE,urban100,img_001.png,x4,4,34.216739536550214,0.019460904577055883,0.042995333671569824,0.03212715685367584,0.048821985721588135,False,4
LTE-NoCellPhase,urban100,img_001.png,x4,1,27.633524046201128,0.041526353599988026,0.0,0.0,0.0,False,4
LTE-NoCellPhase,urban100,img_001.png,x4,2,33.86835078550496,0.02025734202208796,0.03199892118573189,0.0,0.03199892118573189,False,4
LTE-NoCellPhase,urban100,img_001.png,x4,4,31.91635015408693,0.02536194125636244,0.048821985721588135,0.0,0.048821985721588135,False,4
SC-INR-NoPhi,urban100,img_001.png,x4,1,27.788367475725607,0.04079262248320309,0.0,0.0,0.0,False,4
SC-INR-NoPhi,urban100,img_001.png,x4,2,34.453167303313464,0.01893832803681823,0.029570359736680984,0.011301781050860882,0.03199892118573189,False,4
SC-INR-NoPhi,urban100,img_001.png,x4,4,35.059768201462994,0.01766084951200431,0.042443446815013885,0.027421187609434128,0.048821985721588135,False,4
SC-INR,urban100,img_001.png,x4,1,27.861070059821436,0.04045260529637373,0.0,0.0,0.0,False,4
SC-INR,urban100,img_001.png,x4,2,34.49797109275587,0.018840891360287,0.02930031716823578,0.011417613364756107,0.03199892118573189,False,4
SC-INR,urban100,img_001.png,x4,4,34.92527952116766,0.017936430701402738,0.04224119335412979,0.028817497193813324,0.048821985721588135,False,4
SC-INR-NoSinc,urban100,img_001.png,x4,1,27.784903368293264,0.04080889464587204,0.0,0.0,0.0,False,4
SC-INR-NoSinc,urban100,img_001.png,x4,2,33.816006764282086,0.02037978799176302,0.03199892118573189,0.0,0.03199892118573189,False,4
SC-INR-NoSinc,urban100,img_001.png,x4,4,31.585207869413626,0.026347511729769457,0.048821985721588135,0.0,0.048821985721588135,False,4
LTE,urban100,img_002.png,x4,1,26.968051129713587,0.04483296313210168,0.0,0.0,0.0,False,4
LTE,urban100,img_002.png,x4,2,32.70076405331862,0.023171908095706576,0.0305666271597147,0.014782252721488476,0.03329087793827057,False,4
LTE,urban100,img_002.png,x4,4,32.29208269389548,0.024288229914555173,0.0481816902756691,0.038695964962244034,0.05309927836060524,False,4
LTE-NoCellPhase,urban100,img_002.png,x4,1,26.786556381216972,0.045779619737150064,0.0,0.0,0.0,False,4
LTE-NoCellPhase,urban100,img_002.png,x4,2,32.3497972561907,0.024127378494427407,0.03329087793827057,0.0,0.03329087793827057,False,4
LTE-NoCellPhase,urban100,img_002.png,x4,4,30.821196759010476,0.028770019884161776,0.05309927836060524,0.0,0.05309927836060524,False,4
SC-INR-NoPhi,urban100,img_002.png,x4,1,26.92084683685268,0.04507727539957655,0.0,0.0,0.0,False,4
SC-INR-NoPhi,urban100,img_002.png,x4,2,32.79676837050183,0.022917201403272733,0.030705133453011513,0.012711149640381336,0.03329087793827057,False,4
SC-INR-NoPhi,urban100,img_002.png,x4,4,33.5953208986931,0.02090421940911157,0.04660172015428543,0.03258027136325836,0.05309927836060524,False,4
SC-INR,urban100,img_002.png,x4,1,27.02720179699416,0.04452868912260052,0.0,0.0,0.0,False,4
SC-INR,urban100,img_002.png,x4,2,32.93569195606467,0.022553575512862876,0.030336687341332436,0.012996641919016838,0.03329087793827057,False,4
