seed: 2
deterministic: False
CUDA_VISIBLE_DEVICES: 1
train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
model: #params=1.7M
epoch 102/1000, train: loss=0.0316, val: psnr=29.9442, 40.3s 1.1h/11.2h
epoch 103/1000, train: loss=0.0320, val: psnr=29.7156, 40.3s 1.2h/11.2h
epoch 104/1000, train: loss=0.0319, val: psnr=29.7037, 39.7s 1.2h/11.2h
epoch 105/1000, train: loss=0.0316, val: psnr=30.1872, 40.2s 1.2h/11.2h
epoch 106/1000, train: loss=0.0319, val: psnr=29.9249, 39.4s 1.2h/11.2h
epoch 107/1000, train: loss=0.0321, val: psnr=30.0920, 40.9s 1.2h/11.2h
epoch 108/1000, train: loss=0.0315, val: psnr=29.9286, 40.1s 1.2h/11.2h
epoch 109/1000, train: loss=0.0318, val: psnr=29.8539, 40.6s 1.2h/11.2h
epoch 110/1000, train: loss=0.0314, val: psnr=30.0831, 40.1s 1.2h/11.2h
epoch 111/1000, train: loss=0.0319, val: psnr=29.8666, 40.0s 1.2h/11.2h
epoch 112/1000, train: loss=0.0315, val: psnr=29.9479, 39.3s 1.3h/11.2h
epoch 113/1000, train: loss=0.0315, val: psnr=30.0773, 40.6s 1.3h/11.2h
epoch 114/1000, train: loss=0.0316, val: psnr=29.3472, 40.1s 1.3h/11.2h
epoch 115/1000, train: loss=0.0318, val: psnr=29.7850, 40.0s 1.3h/11.2h
epoch 116/1000, train: loss=0.0311, val: psnr=30.0280, 40.5s 1.3h/11.2h
epoch 117/1000, train: loss=0.0317, val: psnr=29.9570, 40.1s 1.3h/11.2h
epoch 118/1000, train: loss=0.0318, val: psnr=29.7074, 40.4s 1.3h/11.2h
epoch 119/1000, train: loss=0.0318, val: psnr=29.8028, 40.6s 1.3h/11.2h
epoch 120/1000, train: loss=0.0317, val: psnr=29.4912, 39.7s 1.3h/11.2h
epoch 121/1000, train: loss=0.0318, val: psnr=29.5504, 40.4s 1.4h/11.2h
epoch 122/1000, train: loss=0.0317, val: psnr=29.5517, 40.9s 1.4h/11.2h
epoch 123/1000, train: loss=0.0315, val: psnr=29.7662, 40.4s 1.4h/11.2h
epoch 124/1000, train: loss=0.0319, val: psnr=30.0275, 40.2s 1.4h/11.2h
epoch 125/1000, train: loss=0.0316, val: psnr=29.7146, 40.9s 1.4h/11.2h
epoch 126/1000, train: loss=0.0318, val: psnr=29.8360, 41.0s 1.4h/11.2h
epoch 127/1000, train: loss=0.0319, val: psnr=29.9320, 41.0s 1.4h/11.2h
epoch 128/1000, train: loss=0.0317, val: psnr=29.7289, 40.8s 1.4h/11.2h
epoch 129/1000, train: loss=0.0313, val: psnr=29.8987, 40.7s 1.4h/11.2h
epoch 130/1000, train: loss=0.0317, val: psnr=29.8010, 40.1s 1.5h/11.2h
epoch 131/1000, train: loss=0.0315, val: psnr=29.8057, 40.4s 1.5h/11.2h
epoch 132/1000, train: loss=0.0317, val: psnr=29.7270, 40.0s 1.5h/11.2h
epoch 133/1000, train: loss=0.0316, val: psnr=29.6170, 39.4s 1.5h/11.2h
epoch 134/1000, train: loss=0.0320, val: psnr=30.3350, 40.6s 1.5h/11.2h
epoch 135/1000, train: loss=0.0317, val: psnr=29.8330, 40.9s 1.5h/11.2h
epoch 136/1000, train: loss=0.0320, val: psnr=29.9892, 40.5s 1.5h/11.2h
epoch 137/1000, train: loss=0.0319, val: psnr=29.9688, 40.5s 1.5h/11.2h
epoch 138/1000, train: loss=0.0321, val: psnr=30.0344, 40.9s 1.5h/11.2h
epoch 139/1000, train: loss=0.0314, val: psnr=29.8771, 40.9s 1.6h/11.2h
epoch 140/1000, train: loss=0.0315, val: psnr=30.0079, 39.5s 1.6h/11.2h
epoch 141/1000, train: loss=0.0318, val: psnr=30.0555, 40.5s 1.6h/11.2h
epoch 142/1000, train: loss=0.0315, val: psnr=29.9156, 39.2s 1.6h/11.2h
epoch 143/1000, train: loss=0.0319, val: psnr=29.6300, 40.7s 1.6h/11.2h
epoch 144/1000, train: loss=0.0317, val: psnr=29.8677, 40.5s 1.6h/11.2h
epoch 145/1000, train: loss=0.0314, val: psnr=30.0017, 40.7s 1.6h/11.2h
epoch 146/1000, train: loss=0.0316, val: psnr=29.7529, 39.4s 1.6h/11.2h
epoch 147/1000, train: loss=0.0313, val: psnr=30.0081, 40.7s 1.6h/11.2h
epoch 148/1000, train: loss=0.0317, val: psnr=30.0314, 40.5s 1.7h/11.2h
epoch 149/1000, train: loss=0.0317, val: psnr=29.8164, 40.5s 1.7h/11.2h
epoch 150/1000, train: loss=0.0315, val: psnr=29.8817, 40.8s 1.7h/11.2h
epoch 151/1000, train: loss=0.0316, val: psnr=29.8901, 40.0s 1.7h/11.2h
epoch 152/1000, train: loss=0.0309, val: psnr=29.8222, 40.3s 1.7h/11.2h
epoch 153/1000, train: loss=0.0316, val: psnr=30.1481, 40.6s 1.7h/11.2h
epoch 154/1000, train: loss=0.0317, val: psnr=29.9563, 41.0s 1.7h/11.2h
epoch 155/1000, train: loss=0.0312, val: psnr=29.8492, 40.8s 1.7h/11.2h
