model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
Bicubic,bsd100,102061.png,x4,25.19109825464342,0.805277448034329,0.055010436023654456,0.1090775802731514,0.1148548498749733,0.0032306783832609653,0.14421676099300385,4.386730204037524e-08,4.1415370924541e-08,7.216571549463217e-09
LTE,bsd100,102061.png,x4,26.659550458489445,0.8604457678921261,0.04645393170090309,0.09215960651636124,0.09566336870193481,0.002918868325650692,0.13692031800746918,1.406657147569438e-08,2.991220331028858e-08,6.9315705655288735e-09
SC-INR-NoPhi,bsd100,102061.png,x4,26.599970246957287,0.859115417841455,0.04677367434912385,0.09287247806787491,0.09647016227245331,0.002906507346779108,0.13779081404209137,1.4744653906113031e-08,3.025230749607614e-08,7.0090299922906425e-09
SC-INR-NoPhi-Signed,bsd100,102061.png,x4,26.616011982207468,0.8578205123166834,0.046687369033809795,0.09261660277843475,0.09613753110170364,0.002914036624133587,0.13754327595233917,1.4360194709131028e-08,3.020625403914786e-08,6.9876951283456894e-09
SC-INR,bsd100,102061.png,x4,26.676575736473353,0.8604526189416468,0.04636296617820465,0.09201471507549286,0.09544824808835983,0.002920609200373292,0.13695944845676422,1.4141025193446406e-08,2.9693768904968727e-08,6.9413360035906425e-09
SC-INR-NoSinc,bsd100,102061.png,x4,26.593568538181135,0.8580823871090835,0.04680816037476342,0.09281718730926514,0.09643454849720001,0.002914413344115019,0.13819056749343872,1.4273038122126053e-08,3.0342946583299695e-08,7.052579993784417e-09
Bicubic,bsd100,102061.png,x8,23.17977220884284,0.6820752910920179,0.06934439916422899,0.13118821382522583,0.1429583579301834,0.005705296993255615,0.14718037843704224,2.1331519122631509e-07,4.5234161371209696e-08,7.776136118569801e-09
LTE,bsd100,102061.png,x8,23.965946890298802,0.7422709760875175,0.06334358738891062,0.12341564893722534,0.13086585700511932,0.00363137642852962,0.14613085985183716,1.4347179077427e-07,4.30211062832996e-08,7.764183209717218e-09
SC-INR-NoPhi,bsd100,102061.png,x8,23.930552447104795,0.7398903640073707,0.06360223507335189,0.12388984113931656,0.1314481496810913,0.003698288230225444,0.14642325043678284,1.45380409386815e-07,4.330069992260445e-08,7.780220562596552e-09
SC-INR-NoPhi-Signed,bsd100,102061.png,x8,24.005433999974972,0.7414744732800829,0.06305627332122248,0.12266919761896133,0.1302167773246765,0.0036372700706124306,0.1463376134634018,1.38823693921953e-07,4.3212910315787934e-08,7.782338324484186e-09
SC-INR,bsd100,102061.png,x8,23.970279604282275,0.7437259010288755,0.06331199808500762,0.12330591678619385,0.13089406490325928,0.0036136263515800238,0.1461755633354187,1.4284737232154817e-07,4.3064303153031327e-08,7.767830746429217e-09
SC-INR-NoSinc,bsd100,102061.png,x8,23.97659327237386,0.7420558165038483,0.06326599408148287,0.12310872972011566,0.130839005112648,0.0035973796620965004,0.146541565656662,1.3866330516204243e-07,4.386590369860322e-08,7.772530924729235e-09
Bicubic,bsd100,102061.png,x16,21.329683844246915,0.5630691669900113,0.08580563463551258,0.15046057105064392,0.16794069111347198,0.014107252471148968,0.15188603103160858,4.921715354360353e-07,5.3078920604663895e-08,9.073628432487803e-09
LTE,bsd100,102061.png,x16,21.623298380083366,0.5894603773375697,0.08295356997760207,0.14933203160762787,0.16529333591461182,0.010740716941654682,0.15183015167713165,4.3972893999738897e-07,5.303907746456645e-08,9.059028405273747e-09
SC-INR-NoPhi,bsd100,102061.png,x16,21.612125561005342,0.5898910242693324,0.08306034333297437,0.14968590438365936,0.16565445065498352,0.010710311122238636,0.15184852480888367,4.4159963977965137e-07,5.3051535693257026e-08,9.060927906266376e-09
SC-INR-NoPhi-Signed,bsd100,102061.png,x16,21.60712756269733,0.5894622160602093,0.08310815132195548,0.1496942937374115,0.16581664979457855,0.01090417243540287,0.1518263816833496,4.4258596008262563e-07,5.3030617929254694e-08,9.058306313606263e-09
SC-INR,bsd100,102061.png,x16,21.639561493144686,0.5909055296093041,0.08279839634006064,0.14913737773895264,0.16500453650951385,0.011896150186657906,0.1518295556306839,4.3700764751586277e-07,5.3016242991375515e-08,9.059490873355068e-09
SC-INR-NoSinc,bsd100,102061.png,x16,21.620604835278,0.5893292433525754,0.08297929835031724,0.14913934469223022,0.1653415709733963,0.011088487692177296,0.15185680985450745,4.3998456227793123e-07,5.3082991484581534e-08,9.061002368640918e-09
Bicubic,bsd100,102061.png,x30,19.765386566153026,0.46447882851539685,0.10273789700755026,0.16553136706352234,0.1852557510137558,0.03470805287361145,0.16356714069843292,1.0027114977353733e-06,8.205130410301563e-08,1.346969465285629e-08
LTE,bsd100,102061.png,x30,19.99955116050368,0.478616565791043,0.10000516758918214,0.16561026871204376,0.18454869091510773,0.024978546425700188,0.1636023074388504,9.25113624685372e-07,8.20015646023136e-08,1.3448930852431414e-08
SC-INR-NoPhi,bsd100,102061.png,x30,19.963630137750105,0.4769773863528047,0.10041960138501452,0.16678835451602936,0.1850326508283615,0.021244123578071594,0.1635705679655075,9.366971456434045e-07,8.202972963406214e-08,1.3447194461869014e-08
SC-INR-NoPhi-Signed,bsd100,102061.png,x30,20.04741944045524,0.48301986688816595,0.09945555104145692,0.16620510816574097,0.18438075482845306,0.021765688434243202,0.1635597050189972,9.091655562368191e-07,8.210084989014572e-08,1.3457135695712411e-08
SC-INR,bsd100,102061.png,x30,20.0130500336533,0.48071119762525105,0.0998498687451254,0.16619504988193512,0.1841336190700531,0.0206416305154562,0.16354523599147797,9.208400096295863e-07,8.198756468910897e-08,1.34450823754642e-08
SC-INR-NoSinc,bsd100,102061.png,x30,19.961257505728586,0.47756162928933593,0.10044703568547561,0.16639816761016846,0.1844145655632019,0.023109978064894676,0.16356532275676727,9.376100005549304e-07,8.199267349393528e-08,1.3450422785317925e-08
Bicubic,bsd100,103070.png,x4,29.349235942232752,0.8494565555039408,0.0340830304756263,0.05933498963713646,0.06451985239982605,0.006727918051183224,0.08394443243741989,2.3572608689629426e-08,1.5749335860656935e-08,2.072354155530006e-09
LTE,bsd100,103070.png,x4,30.71034428477734,0.8882123983657723,0.029139546313340665,0.05049314722418785,0.05347602441906929,0.005454958416521549,0.08041858673095703,8.595846549667195e-09,1.2537893170064529e-08,1.983487463972035e-09
