model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
LTE-NoCell,bsd100,108070.png,x16,20.14440303470262,0.30892870453513926,0.09835124191248899,0.1535816639661789,0.1773880273103714,0.029778514057397842,0.21607671678066254,4.883167645067526e-07,9.657242972969877e-08,1.6414903710240902e-08
LTE-FeaturePhase,bsd100,108070.png,x16,20.15522298741015,0.30950404505074924,0.09822880272664718,0.15346388518810272,0.17728129029273987,0.029516739770770073,0.2160777896642685,4.856884835679531e-07,9.657110397894433e-08,1.6414498531674194e-08
SC-INR-Fixed,bsd100,108070.png,x16,20.124497035017438,0.30961513420128667,0.09857689811703708,0.15509973466396332,0.17849335074424744,0.029258841648697853,0.21607951819896698,4.932166218363511e-07,9.656719113783962e-08,1.641414857126743e-08
SC-INR-Adaptive,bsd100,108070.png,x16,20.140929238582412,0.3100832283742393,0.09839058393792853,0.15469317138195038,0.17821955680847168,0.029362760484218597,0.21608947217464447,4.889858134326364e-07,9.660764032654905e-08,1.6417522492321074e-08
Bicubic,bsd100,108070.png,x30,18.456564696210968,0.20752159968395972,0.11944604248895686,0.17367024719715118,0.2009502649307251,0.05877009406685829,0.23179778456687927,1.1725019889919038e-06,1.3971456401746763e-07,2.4447254291275793e-08
LIIF,bsd100,108070.png,x30,18.649533147126157,0.22639890029791976,0.11682165179699554,0.17335982620716095,0.2002706676721573,0.0486002042889595,0.23178228735923767,1.0853352287698658e-06,1.3968645062006111e-07,2.444687665129329e-08
LIIF-EQ,bsd100,108070.png,x30,18.599061639053495,0.22573328651264835,0.11750244892642422,0.1742706596851349,0.20120462775230408,0.049133043736219406,0.23177948594093323,1.1077169698556208e-06,1.3970897022833353e-07,2.4444250664882976e-08
LTE,bsd100,108070.png,x30,18.644941802767427,0.2237599404379758,0.11688341981857397,0.17559507489204407,0.20248223841190338,0.047429926693439484,0.2317674607038498,1.087631123387383e-06,1.3964406846232245e-07,2.443832833737432e-08
LTE-EQ,bsd100,108070.png,x30,18.698821700814175,0.22573382582909846,0.11616061828220703,0.17322896420955658,0.20023813843727112,0.04846098646521568,0.23177045583724976,1.0638822731131158e-06,1.396488587652543e-07,2.443981886507491e-08
LTE-NoCell,bsd100,108070.png,x30,18.698621469009193,0.22603407034774406,0.11616329611019331,0.1713532656431198,0.19851933419704437,0.0495624840259552,0.23177587985992432,1.0639033777079836e-06,1.3965891988435612e-07,2.4442289989536497e-08
LTE-FeaturePhase,bsd100,108070.png,x30,18.739971578542946,0.2267696223577835,0.1156116025160749,0.17079609632492065,0.197756826877594,0.049222689121961594,0.2317747175693512,1.0458646064657332e-06,1.3966737199442073e-07,2.444218806068843e-08
SC-INR-Fixed,bsd100,108070.png,x30,18.62876420806104,0.22719172756023315,0.11710131973138618,0.17365531623363495,0.2010495662689209,0.048942193388938904,0.23177629709243774,1.0946062946861084e-06,1.3967843970490708e-07,2.444404488622743e-08
SC-INR-Adaptive,bsd100,108070.png,x30,18.672661881583004,0.22730768193431028,0.11651099360125207,0.17277923226356506,0.19997885823249817,0.04860788583755493,0.23176248371601105,1.0753934693050515e-06,1.396453809684331e-07,2.4437698001550428e-08
Bicubic,bsd100,108082.png,x4,26.184338623417243,0.7969205214249685,0.049066272768213064,0.08505984395742416,0.09294316917657852,0.004421456716954708,0.12149564176797867,4.6193174405406556e-08,3.341233040483786e-08,4.206477642528092e-09
LIIF,bsd100,108082.png,x4,27.518696943235636,0.8435003765696134,0.04207897505085716,0.07227285951375961,0.0769171491265297,0.0033530271612107754,0.11809608340263367,1.4823371326403737e-08,2.679494768823663e-08,4.160802785073532e-09
