model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
SC-INR-Adaptive,bsd100,102061.png,x30,x4,52.24063906887512,0.002443250782625921,0.004021307919174433,0.0032763476483523846,0.0006173457950353622
LIIF,bsd100,103070.png,x8,x4,53.82474959788978,0.0020359284916054363,0.003865882521495223,0.0038410231936722994,0.0007445894298143685
LIIF-EQ,bsd100,103070.png,x8,x4,52.17904046914195,0.0024606394161485043,0.0047695692628622055,0.004749374929815531,0.000719068048056215
LTE,bsd100,103070.png,x8,x4,52.58895542042524,0.0023472115252862985,0.003914764150977135,0.004054705612361431,0.0008769282721914351
LTE-EQ,bsd100,103070.png,x8,x4,53.66161377456131,0.0020745280495578808,0.0035215436946600676,0.0036076256074011326,0.0008361668442375958
LTE-NoCell,bsd100,103070.png,x8,x4,66.44353525957153,0.00047623711322924864,0.0008676073630340397,0.000902291270904243,0.00014282873598858714
LTE-FeaturePhase,bsd100,103070.png,x8,x4,66.3996074903633,0.00047865172179023893,0.0008739496115595102,0.0009095006389543414,0.00015495425031986088
SC-INR-Fixed,bsd100,103070.png,x8,x4,56.088221639126516,0.0015688770788293517,0.002879394218325615,0.002892059041187167,0.000528552511241287
SC-INR-Adaptive,bsd100,103070.png,x8,x4,56.755020457489216,0.0014529443388078846,0.002823067596182227,0.00297321449033916,0.00028873729752376676
LIIF,bsd100,103070.png,x16,x4,49.94796603474313,0.003181278557626684,0.005522924941033125,0.005089352838695049,0.0015501307789236307
LIIF-EQ,bsd100,103070.png,x16,x4,47.99122605940171,0.003985095166107063,0.006889550480991602,0.006144742015749216,0.0018969048978760839
LTE,bsd100,103070.png,x16,x4,46.45546848023783,0.004755832780177643,0.006946489680558443,0.006283681374043226,0.002819380722939968
LTE-EQ,bsd100,103070.png,x16,x4,47.27210304160848,0.00432907238848948,0.006973304785788059,0.006716643460094929,0.0018626621458679438
LTE-NoCell,bsd100,103070.png,x16,x4,76.10548438154852,0.0001565762115742962,0.0002742404176387936,0.00026023530517704785,5.4343956435332075e-05
LTE-FeaturePhase,bsd100,103070.png,x16,x4,76.99916000300112,0.00014126741552318055,0.0002554992097429931,0.00023858908389229327,4.956778502673842e-05
SC-INR-Fixed,bsd100,103070.png,x16,x4,53.55864231215217,0.002099267993698807,0.003431842662394047,0.0032699040602892637,0.001179904444143176
SC-INR-Adaptive,bsd100,103070.png,x16,x4,55.51503056774793,0.0016759014303028082,0.0029830101411789656,0.002998732030391693,0.0005678965826518834
LIIF,bsd100,103070.png,x30,x4,46.7382850978715,0.004603474534949976,0.007608877029269934,0.007377284578979015,0.0026823647785931826
