y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
288,96,96,SC-INR+PhiZ,LTE,21.150524,21.072176,21.199322,0.078347,-0.048799,0.014910
288,48,96,SC-INR+PhiZ,LTE,21.336339,21.258418,21.287016,0.077921,0.049324,0.018356
624,144,96,SC-INR+PhiZ,LTE,23.388013,23.310558,23.249735,0.077455,0.138278,0.014575
192,96,96,SC-INR+PhiZ,LTE,24.292647,24.215512,24.296991,0.077135,-0.004344,0.009221
480,480,96,SC-INR+PhiZ,LTE,28.927322,28.850733,28.619552,0.076589,0.307770,0.043377
0,240,96,SC-INR+PhiZ,LTE,21.434088,21.357502,21.424071,0.076586,0.010017,0.011185
0,192,96,SC-INR+PhiZ,LTE,21.437268,21.361609,21.439541,0.075659,-0.002273,0.012588
288,912,96,SC-INR+PhiZ,LTE,23.775495,23.700769,23.696779,0.074726,0.078717,0.007848
672,384,96,SC-INR+PhiZ,LTE,13.626831,13.553131,13.582897,0.073699,0.043933,0.051211
672,96,96,SC-INR+PhiZ,LTE,21.343265,21.269659,21.410269,0.073606,-0.067004,0.021169
0,528,96,SC-INR+PhiZ,LTE,20.700803,20.629010,20.791436,0.071793,-0.090632,0.018062
288,336,96,SC-INR+PhiZ,LTE,22.905047,22.834079,23.022209,0.070968,-0.117161,0.005777
480,192,96,SC-INR+PhiZ,LTE,19.648704,19.580297,19.545963,0.068408,0.102742,0.019258
96,928,96,SC-INR+PhiZ,LTE,25.894587,25.826546,25.802066,0.068041,0.092521,0.013530
480,336,96,SC-INR+PhiZ,LTE,21.918218,21.850655,21.822355,0.067563,0.095863,0.013928
288,928,96,SC-INR+PhiZ,LTE,23.281053,23.214045,23.231861,0.067008,0.049192,0.008185
336,336,96,SC-INR+PhiZ,LTE,24.116255,24.049459,24.029015,0.066797,0.087240,0.005718
96,288,96,SC-INR+PhiZ,LTE,27.098832,27.032170,27.232459,0.066662,-0.133627,0.011494
672,48,96,SC-INR+PhiZ,LTE,22.849111,22.784199,22.844032,0.064912,0.005079,0.019344
672,576,96,SC-INR+PhiZ,LTE,20.710780,20.648122,20.725156,0.062657,-0.014376,0.111999
240,240,96,SC-INR+PhiZ,LTE,22.181402,22.119620,22.234364,0.061783,-0.052961,0.009357
336,48,96,SC-INR+PhiZ,LTE,21.702990,21.641670,21.647542,0.061320,0.055448,0.019516
0,576,96,SC-INR+PhiZ,LTE,21.091053,21.029800,21.172264,0.061254,-0.081211,0.025503
384,768,96,SC-INR+PhiZ,LTE,18.360045,18.298992,18.276375,0.061053,0.083670,0.023457
48,720,96,SC-INR+PhiZ,LTE,21.071617,21.012449,21.032652,0.059168,0.038965,0.049322
624,432,96,SC-INR+PhiZ,LTE,14.545667,14.487121,14.490140,0.058546,0.055527,0.039060
672,768,96,SC-INR+PhiZ,LTE,20.253910,20.198080,20.217719,0.055830,0.036191,0.066240
624,576,96,SC-INR+PhiZ,LTE,18.986368,18.931092,18.990509,0.055276,-0.004141,0.077148
384,528,96,SC-INR+PhiZ,LTE,52.707603,52.653106,52.672277,0.054498,0.035327,0.000950
144,720,96,SC-INR+PhiZ,LTE,22.587920,22.534084,22.530255,0.053836,0.057666,0.037170
672,480,96,SC-INR+PhiZ,LTE,17.385445,17.331700,17.305704,0.053745,0.079742,0.057424
288,240,96,SC-INR+PhiZ,LTE,23.969720,23.917657,23.983134,0.052063,-0.013414,0.006132
192,48,96,SC-INR+PhiZ,LTE,24.465818,24.413806,24.617514,0.052011,-0.151696,0.008438
96,864,96,SC-INR+PhiZ,LTE,21.949037,21.897090,21.872883,0.051946,0.076154,0.048643
672,528,96,SC-INR+PhiZ,LTE,21.891073,21.839933,21.799503,0.051140,0.091570,0.095567
672,928,96,SC-INR+PhiZ,LTE,24.172795,24.122368,24.150791,0.050427,0.022005,0.015940
528,288,96,SC-INR+PhiZ,LTE,24.747434,24.697174,24.883257,0.050260,-0.135823,0.006687
672,240,96,SC-INR+PhiZ,LTE,26.895537,26.845860,26.879092,0.049677,0.016445,0.007243
0,912,96,SC-INR+PhiZ,LTE,23.848338,23.800369,23.803830,0.047968,0.044508,0.042397
240,192,96,SC-INR+PhiZ,LTE,21.788804,21.741204,21.786214,0.047600,0.002590,0.013193
240,528,96,SC-INR+PhiZ,LTE,51.695119,51.648588,51.714723,0.046530,-0.019604,0.000337
48,576,96,SC-INR+PhiZ,LTE,23.186565,23.141441,23.122379,0.045124,0.064186,0.024406
0,144,96,SC-INR+PhiZ,LTE,22.706616,22.662057,22.816409,0.044559,-0.109793,0.012112
624,912,96,SC-INR+PhiZ,LTE,24.988930,24.948165,24.915187,0.040766,0.073744,0.016484
624,864,96,SC-INR+PhiZ,LTE,20.354236,20.314230,20.356791,0.040005,-0.002555,0.037019
672,144,96,SC-INR+PhiZ,LTE,24.411170,24.372154,24.590614,0.039016,-0.179444,0.012595
336,768,96,SC-INR+PhiZ,LTE,20.970781,20.932157,20.799782,0.038624,0.170999,0.037077
528,384,96,SC-INR+PhiZ,LTE,14.541285,14.504108,14.534905,0.037177,0.006381,0.039786
240,288,96,SC-INR+PhiZ,LTE,22.574051,22.537262,22.589967,0.036789,-0.015916,0.006788
432,240,96,SC-INR+PhiZ,LTE,20.322257,20.286175,20.113110,0.036082,0.209147,0.017856
672,192,96,SC-INR+PhiZ,LTE,26.707462,26.671593,26.753269,0.035869,-0.045806,0.006680
240,336,96,SC-INR+PhiZ,LTE,23.390450,23.355139,23.468243,0.035311,-0.077793,0.005737
624,624,96,SC-INR+PhiZ,LTE,19.974688,19.939503,19.956068,0.035185,0.018620,0.038918
0,96,96,SC-INR+PhiZ,LTE,24.710995,24.678744,24.866449,0.032251,-0.155454,0.011034
0,672,96,SC-INR+PhiZ,LTE,25.303443,25.272239,25.344062,0.031204,-0.040619,0.011147
624,480,96,SC-INR+PhiZ,LTE,19.107378,19.076689,19.031887,0.030689,0.075490,0.062900
192,480,96,SC-INR+PhiZ,LTE,51.592796,51.563499,51.622856,0.029297,-0.030060,0.000197
192,864,96,SC-INR+PhiZ,LTE,22.215386,22.186826,21.935668,0.028560,0.279717,0.044924
240,0,96,SC-INR+PhiZ,LTE,22.843984,22.818853,22.829450,0.025131,0.014534,0.014893
144,816,96,SC-INR+PhiZ,LTE,20.631621,20.607904,20.570053,0.023716,0.061568,0.044094
336,480,96,SC-INR+PhiZ,LTE,51.892833,51.869327,51.928796,0.023505,-0.035963,0.000867
576,720,96,SC-INR+PhiZ,LTE,26.129559,26.107074,26.087158,0.022485,0.042402,0.033624
528,96,96,SC-INR+PhiZ,LTE,21.744616,21.722810,21.696583,0.021806,0.048033,0.017793
528,0,96,SC-INR+PhiZ,LTE,22.015625,21.994091,22.017939,0.021535,-0.002314,0.018776
576,432,96,SC-INR+PhiZ,LTE,15.122502,15.101335,15.108233,0.021167,0.014269,0.034658
576,48,96,SC-INR+PhiZ,LTE,21.316696,21.296199,21.458444,0.020497,-0.141748,0.018398
144,928,96,SC-INR+PhiZ,LTE,25.646211,25.625818,25.771793,0.020393,-0.125582,0.011308
432,48,96,SC-INR+PhiZ,LTE,20.387047,20.367534,20.099111,0.019513,0.287935,0.030871
0,624,96,SC-INR+PhiZ,LTE,24.817238,24.798346,24.785236,0.018893,0.032003,0.010903
192,672,96,SC-INR+PhiZ,LTE,21.070974,21.052483,21.139663,0.018492,-0.068689,0.035271
48,240,96,SC-INR+PhiZ,LTE,22.104684,22.091420,22.193157,0.013264,-0.088473,0.010798
96,96,96,SC-INR+PhiZ,LTE,49.567077,49.553879,49.624445,0.013198,-0.057368,0.000378
192,144,96,SC-INR+PhiZ,LTE,24.484196,24.471160,24.475716,0.013036,0.008480,0.010004
192,288,96,SC-INR+PhiZ,LTE,23.842337,23.829358,23.837553,0.012980,0.004784,0.009672
48,432,96,SC-INR+PhiZ,LTE,51.055039,51.043379,51.080240,0.011660,-0.025202,0.000020
192,192,96,SC-INR+PhiZ,LTE,23.816177,23.804704,23.812916,0.011473,0.003261,0.010686
432,0,96,SC-INR+PhiZ,LTE,21.940736,21.929310,21.890308,0.011426,0.050428,0.024956
288,624,96,SC-INR+PhiZ,LTE,20.218185,20.207463,20.206263,0.010722,0.011922,0.023468
528,720,96,SC-INR+PhiZ,LTE,21.690099,21.682061,21.587551,0.008038,0.102548,0.062566
0,432,96,SC-INR+PhiZ,LTE,51.650634,51.642726,51.668338,0.007908,-0.017704,0.000016
624,48,96,SC-INR+PhiZ,LTE,19.597921,19.590980,19.637739,0.006941,-0.039818,0.025791
144,480,96,SC-INR+PhiZ,LTE,51.749383,51.742584,51.777143,0.006799,-0.027759,0.000115
672,864,96,SC-INR+PhiZ,LTE,17.203745,17.197032,17.155908,0.006713,0.047837,0.050450
288,576,96,SC-INR+PhiZ,LTE,23.768762,23.762110,23.765570,0.006652,0.003193,0.014275
576,576,96,SC-INR+PhiZ,LTE,20.645110,20.638968,20.632561,0.006142,0.012550,0.051305
480,432,96,SC-INR+PhiZ,LTE,17.134303,17.128643,17.152375,0.005661,-0.018072,0.031907
480,384,96,SC-INR+PhiZ,LTE,15.542984,15.537742,15.569844,0.005241,-0.026861,0.031066
672,816,96,SC-INR+PhiZ,LTE,17.001433,16.996417,16.974686,0.005016,0.026747,0.053652
240,144,96,SC-INR+PhiZ,LTE,21.550308,21.546808,21.489198,0.003499,0.061109,0.015801
528,432,96,SC-INR+PhiZ,LTE,15.885857,15.882449,15.875921,0.003408,0.009936,0.029732
336,672,96,SC-INR+PhiZ,LTE,18.439182,18.436479,18.441520,0.002703,-0.002338,0.021175
336,720,96,SC-INR+PhiZ,LTE,19.798628,19.795959,19.772895,0.002669,0.025733,0.029189
336,240,96,SC-INR+PhiZ,LTE,23.060861,23.058207,22.862737,0.002655,0.198124,0.010112
