y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
480,48,96,SC-INR+PhiZ,LTE,30.656607,30.896296,30.889372,-0.239689,-0.232765,0.007610
144,48,96,SC-INR+PhiZ,LTE,24.061726,24.334784,24.840441,-0.273058,-0.778716,0.036770
48,624,96,SC-INR+PhiZ,LTE,19.969258,20.259657,20.135630,-0.290399,-0.166373,0.021427
96,192,96,SC-INR+PhiZ,LTE,20.648480,20.948984,21.126872,-0.300504,-0.478392,0.034323
144,432,96,SC-INR+PhiZ,LTE,22.817330,23.147417,23.018444,-0.330087,-0.201114,0.023404
384,288,96,SC-INR+PhiZ,LTE,27.787038,28.123910,28.414005,-0.336872,-0.626968,0.016758
240,0,96,SC-INR+PhiZ,LTE,20.246339,20.617427,20.736212,-0.371088,-0.489873,0.036882
48,96,96,SC-INR+PhiZ,LTE,21.679151,22.127923,21.643558,-0.448772,0.035593,0.032347
0,624,96,SC-INR+PhiZ,LTE,20.739261,21.218979,20.878905,-0.479719,-0.139645,0.024448
192,528,96,SC-INR+PhiZ,LTE,21.082896,21.563259,21.548077,-0.480363,-0.465181,0.026535
192,48,96,SC-INR+PhiZ,LTE,24.882109,25.369754,25.532470,-0.487645,-0.650362,0.014560
144,240,96,SC-INR+PhiZ,LTE,30.524833,31.050159,30.597865,-0.525325,-0.073032,0.014555
48,240,96,SC-INR+PhiZ,LTE,25.050227,25.612199,25.647481,-0.561972,-0.597254,0.017618
0,96,96,SC-INR+PhiZ,LTE,17.909524,18.534116,18.219703,-0.624592,-0.310180,0.039759
480,96,96,SC-INR+PhiZ,LTE,31.355108,32.133173,31.686558,-0.778065,-0.331450,0.007359
