model,dataset,split,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,psnr_y_lte,ssim_y_lte,rmse_y_lte,edge_rmse_lte,texture_rmse_lte,flat_rmse_lte,highpass_rmse_lte,delta_psnr_y_vs_lte,delta_ssim_y_vs_lte,delta_rmse_y_vs_lte,delta_edge_rmse_vs_lte,delta_texture_rmse_vs_lte,delta_flat_rmse_vs_lte,delta_highpass_rmse_vs_lte
LTE-NoCell,bsd100,x8-x30,22.814744710758003,0.5299639045739996,0.07589748111523094,0.11725641402105484,0.13272175999979174,0.024155195228134533,0.13406045436859126,22.806515137303563,0.530200647326736,0.07606555756457613,0.11824257075786589,0.1333909130344788,0.023389711923664364,0.133919229482611,0.008229573454439532,-0.00023674275273644074,-0.00016807644934518917,-0.0009861567368110447,-0.0006691530346870644,0.0007654833044701687,0.00014122488598025673
LTE-NoCell,urban100,x4,26.389516661516904,0.849819857934491,0.0518944380241669,0.0891899593174457,0.0935931168496608,0.0086630834732204,0.1628333069384098,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,-0.17912324872686725,-0.006068021047911709,0.001069561371916397,0.0020043130964041006,0.0025964528322219987,5.3736357949699803e-05,0.0026752009987831005
LTE-NoCell,urban100,x8-x30,20.545018700527283,0.5024657358296609,0.10102698784595127,0.15449618225296333,0.1745912904540697,0.03470387336953227,0.18026876846949258,20.51184385495301,0.5049598642126768,0.10142623120847283,0.15567205945650733,0.1753609582781791,0.0341076509483779,0.1802093575398127,0.03317484557427264,-0.002494128383015881,-0.0003992433625215619,-0.0011758772035440068,-0.0007696678241093935,0.0005962224211543687,5.9410929679870605e-05
LTE-FeaturePhase,bsd100,x4,27.61747318406989,0.8179292537800766,0.0440228580689248,0.0753194913268089,0.0792038328945636,0.0081374673201935,0.1261164586991071,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,-0.05082095142948617,-0.001562357947021864,0.0001974558778230981,0.00043192356824879596,0.0006330188363790068,2.32220336330094e-06,0.0007918007671832983
LTE-FeaturePhase,bsd100,x8-x30,22.81972040793723,0.5302292675539602,0.07582219284555718,0.1171646118164062,0.13264348097145554,0.023860290502974103,0.1340437814593315,22.806515137303563,0.530200647326736,0.07606555756457613,0.11824257075786589,0.1333909130344788,0.023389711923664364,0.133919229482611,0.013205270633665833,2.862022722416313e-05,-0.0002433647190189514,-0.0010779589414596918,-0.0007474320630232734,0.00047057857930973834,0.0001245519767204828
LTE-FeaturePhase,urban100,x4,26.425118426496788,0.850196644105812,0.0516058766921793,0.0886924862861633,0.0930359963327646,0.0086218566866591,0.1623429577797651,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,-0.1435214837469836,-0.005691234876590734,0.0007810000399288003,0.001506840065121709,0.002039332315325798,1.2509571388399227e-05,0.002184851840138391
LTE-FeaturePhase,urban100,x8-x30,20.56632353657641,0.5035676123603224,0.10078158072758144,0.1541998167832692,0.17422798921664553,0.034672980212295965,0.18023865967988964,20.51184385495301,0.5049598642126768,0.10142623120847283,0.15567205945650733,0.1753609582781791,0.0341076509483779,0.1802093575398127,0.054479681623398335,-0.0013922518523543648,-0.0006446504808913928,-0.0014722426732381444,-0.0011329690615335675,0.0005653292639180643,2.9302140076931105e-05
SC-INR-Fixed,bsd100,x4,27.65251450828339,0.8190321537358086,0.0439233132618475,0.0750854510813951,0.0787737026810646,0.0081286416680086,0.1255594696849584,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,-0.0157796272159878,-0.00045945799128987996,9.791107074579725e-05,0.00019788332283499077,0.00020288862287999587,-6.503448821599395e-06,0.00023481175303460833
SC-INR-Fixed,bsd100,x8-x30,22.822777470179517,0.531063502562449,0.0759332947127216,0.11781477903326347,0.13288956731557844,0.023579443082174568,0.13393849122027549,22.806515137303563,0.530200647326736,0.07606555756457613,0.11824257075786589,0.1333909130344788,0.023389711923664364,0.133919229482611,0.01626233287595369,0.0008628552357130559,-0.00013226285185452547,-0.00042779172460241655,-0.00050134571890037,0.0001897311585102035,1.9261737664477696e-05
SC-INR-Fixed,urban100,x4,26.46358341456248,0.8530661922392643,0.0513870905852611,0.0880755692720413,0.0920753773301839,0.0086409093579277,0.1611562717705965,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,-0.10505649568129272,-0.0028216867431384296,0.0005622139330105982,0.0008899230509997053,0.0010787133127450887,3.1562242656999265e-05,0.0009981658309697883
