model,dataset,scale,n,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power,scale_num,split,psnr_y_lte,ssim_y_lte,rmse_y_lte,edge_rmse_lte,texture_rmse_lte,flat_rmse_lte,highpass_rmse_lte,delta_psnr_y_vs_lte,delta_ssim_y_vs_lte,delta_rmse_y_vs_lte,delta_edge_rmse_vs_lte,delta_texture_rmse_vs_lte,delta_flat_rmse_vs_lte,delta_highpass_rmse_vs_lte
LIIF-EQ,bsd100,x16,10,22.79986700986533,0.5105948192766572,0.0747923150432225,0.1179341025650501,0.1330926589667797,0.0205160933255683,0.1338677391409874,3.846074384041176e-07,4.5377423278413234e-08,6.975052507003161e-09,16,x8-x30,22.767463576778503,0.5093332884416716,0.0750040754169017,0.1183887965977192,0.1338248185813427,0.0201950863352976,0.1338663127273321,0.03240343308682725,0.0012615308349855914,-0.00021176037367920397,-0.00045469403266909514,-0.0007321596145630216,0.0003210069902707009,1.4264136553032714e-06
LIIF-EQ,bsd100,x30,10,20.758517005308494,0.4188673180267586,0.0935266927151689,0.1362099319696426,0.1572753295302391,0.038512032199651,0.1370280183851719,9.187052973984592e-07,6.208390577334885e-08,9.473905116177924e-09,30,x8-x30,20.6857710895601,0.4169935903134113,0.0941821512327992,0.1375180035829544,0.1587272860109806,0.0386381211690604,0.1370385240763426,0.07274591574839562,0.0018737277133472618,-0.0006554585176302974,-0.001308071613311812,-0.0014519564807415064,-0.00012608896940940334,-1.0505691170697995e-05
LIIF-EQ,urban100,x4,10,26.628574900741103,0.8575767334868656,0.050515953148128,0.0865062210708856,0.0903638880699873,0.0085769736673682,0.1598737943917512,3.20109167717074e-09,8.46450995612712e-09,2.012987606719896e-09,4,x4,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,0.05993499049733231,0.0016888545044628778,-0.0003089235041225033,-0.0006794251501559961,-0.0006327759474515082,-3.237344790250028e-05,-0.0002843115478755043
LIIF-EQ,urban100,x8,10,22.81837008135028,0.6869168897944057,0.0769868787480505,0.130315887928009,0.1416021302342414,0.0134929238352924,0.1776552338153124,4.9676476845181486e-08,1.4363158189351673e-08,2.2897579266711616e-09,8,x8-x30,22.720312690132523,0.6812082009045406,0.0777025273473859,0.1313483990728855,0.1430824123322963,0.0136669747997075,0.1777480937540531,0.09805739121775758,0.005708688889865088,-0.0007156485993354,-0.0010325111448765134,-0.001480282098054897,-0.0001740509644151001,-9.285993874069698e-05
LIIF-EQ,urban100,x16,10,20.283516582281283,0.4812538178619699,0.1026033862723653,0.1592422880232334,0.1803310543298721,0.0319425371708348,0.1804073549807071,1.5299525576319262e-07,1.5935539968111923e-08,2.45478912781061e-09,16,x8-x30,20.240715072717244,0.4761711323785668,0.1028019741495415,0.1595784902572631,0.1810270249843597,0.0300448080291971,0.1803485095500946,0.04280150956403972,0.0050826854834031265,-0.00019858787717619286,-0.0003362022340296922,-0.000695970654487621,0.0018977291416376989,5.884543061249192e-05
LIIF-EQ,urban100,x30,10,18.619080322189404,0.3611713293127102,0.1231818905542456,0.1757959268987178,0.201625981926918,0.0575547504704445,0.1825464002788067,2.702846631785556e-07,1.7689217599046817e-08,2.748870298483718e-09,30,x8-x30,18.57450380200926,0.3575002593549228,0.1237741921284911,0.1760892890393734,0.2019734375178813,0.0586111700162291,0.1825314693152904,0.044576520180143575,0.003671069957787376,-0.0005923015742455018,-0.00029336214065558974,-0.0003474555909633026,-0.001056419545784601,1.4930963516290863e-05
LTE,bsd100,x4,10,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,1.7555002714267873e-08,3.0812812171733315e-08,5.699846807438333e-09,4,x4,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTE,bsd100,x8,10,24.96631074557208,0.6642750632251252,0.0590104460440275,0.0988209120929241,0.1076206345111131,0.0113359282666351,0.1308528516441583,1.491457178301442e-07,3.903809645150338e-08,6.1830003009915885e-09,8,x8-x30,24.96631074557208,0.6642750632251252,0.0590104460440275,0.0988209120929241,0.1076206345111131,0.0113359282666351,0.1308528516441583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTE,bsd100,x16,10,22.767463576778503,0.5093332884416716,0.0750040754169017,0.1183887965977192,0.1338248185813427,0.0201950863352976,0.1338663127273321,3.87530520523054e-07,4.5406163165547175e-08,6.973713649290561e-09,16,x8-x30,22.767463576778503,0.5093332884416716,0.0750040754169017,0.1183887965977192,0.1338248185813427,0.0201950863352976,0.1338663127273321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTE,bsd100,x30,10,20.6857710895601,0.4169935903134113,0.0941821512327992,0.1375180035829544,0.1587272860109806,0.0386381211690604,0.1370385240763426,9.340732111428898e-07,6.208464673686394e-08,9.473524079046405e-09,30,x8-x30,20.6857710895601,0.4169935903134113,0.0941821512327992,0.1375180035829544,0.1587272860109806,0.0386381211690604,0.1370385240763426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTE,urban100,x4,10,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,3.3072064370889323e-09,8.59124493807277e-09,2.0097479355675783e-09,4,x4,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTE,urban100,x8,10,22.720312690132523,0.6812082009045406,0.0777025273473859,0.1313483990728855,0.1430824123322963,0.0136669747997075,0.1777480937540531,5.184799115626656e-08,1.4334731464547017e-08,2.287488711098669e-09,8,x8-x30,22.720312690132523,0.6812082009045406,0.0777025273473859,0.1313483990728855,0.1430824123322963,0.0136669747997075,0.1777480937540531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTE,urban100,x16,10,20.240715072717244,0.4761711323785668,0.1028019741495415,0.1595784902572631,0.1810270249843597,0.0300448080291971,0.1803485095500946,1.5204669403663797e-07,1.5911936031693455e-08,2.4532726113397683e-09,16,x8-x30,20.240715072717244,0.4761711323785668,0.1028019741495415,0.1595784902572631,0.1810270249843597,0.0300448080291971,0.1803485095500946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTE,urban100,x30,10,18.57450380200926,0.3575002593549228,0.1237741921284911,0.1760892890393734,0.2019734375178813,0.0586111700162291,0.1825314693152904,2.734710012856072e-07,1.7684959097955826e-08,2.7489212459431237e-09,30,x8-x30,18.57450380200926,0.3575002593549228,0.1237741921284911,0.1760892890393734,0.2019734375178813,0.0586111700162291,0.1825314693152904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-EQ,bsd100,x4,10,27.66958743739932,0.8190363545666697,0.0438305869555903,0.0749322902411222,0.0786306846886873,0.0081346384235075,0.1254402160644531,1.72154243922977e-08,3.0890284663887535e-08,5.709227214315389e-09,4,x4,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,0.0012933018999419232,-0.0004552571604288236,5.184764488595783e-06,4.472248256209843e-05,5.9870630502695255e-05,-5.066933227004106e-07,0.00011555813252930869
LTE-EQ,bsd100,x8,10,24.95010996170979,0.6632054445747184,0.0590731403880215,0.0989491011947393,0.1078998364508152,0.0113635947927832,0.1309775430709123,1.4876050795996936e-07,3.918419940548677e-08,6.186385975024578e-09,8,x8-x30,24.96631074557208,0.6642750632251252,0.0590104460440275,0.0988209120929241,0.1076206345111131,0.0113359282666351,0.1308528516441583,-0.016200783862291956,-0.0010696186504067784,6.269434399400198e-05,0.00012818910181520982,0.0002792019397021006,2.766652614809989e-05,0.00012469142675400335
LTE-EQ,bsd100,x16,10,22.7556092775304,0.5072192997435769,0.075050825162216,0.118028225004673,0.1337725132703781,0.0208393028471618,0.1338623218238353,3.876171724466549e-07,4.538160771592892e-08,6.9728371182843344e-09,16,x8-x30,22.767463576778503,0.5093332884416716,0.0750040754169017,0.1183887965977192,0.1338248185813427,0.0201950863352976,0.1338663127273321,-0.011854299248103217,-0.0021139886980946487,4.674974531430898e-05,-0.00036057159304619946,-5.230531096461766e-05,0.0006442165118641999,-3.9909034967866575e-06
LTE-EQ,bsd100,x30,10,20.69824119182181,0.4163830437217065,0.0939165218491312,0.136117186397314,0.1576574251055717,0.0400960899889469,0.1370324905961752,9.237528804702442e-07,6.209787042718199e-08,9.476322200149508e-09,30,x8-x30,20.6857710895601,0.4169935903134113,0.0941821512327992,0.1375180035829544,0.1587272860109806,0.0386381211690604,0.1370385240763426,0.012470102261712412,-0.0006105465917048414,-0.0002656293836680035,-0.0014008171856404183,-0.0010698609054088926,0.001457968819886496,-6.033480167394467e-06
LTE-EQ,urban100,x4,10,26.547483935628502,0.8543382714248098,0.0510513215473264,0.0875180635601282,0.0915666539222002,0.0086043035378679,0.1608013696968555,3.474402580383982e-09,8.641865374370941e-09,2.021729602094406e-09,4,x4,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,-0.021155974615268747,-0.0015496075575929247,0.00022644489507590154,0.00033241733908660753,0.0005699899047613977,-5.043577402800634e-06,0.0006432637572287847
LTE-EQ,urban100,x8,10,22.73009979069456,0.677638402384537,0.077770949116625,0.131104090064764,0.1428763665258884,0.0139677663566544,0.1778641145676374,5.231657416270624e-08,1.4407612848889314e-08,2.289751145340826e-09,8,x8-x30,22.720312690132523,0.6812082009045406,0.0777025273473859,0.1313483990728855,0.1430824123322963,0.0136669747997075,0.1777480937540531,0.009787100562036244,-0.0035697985200036086,6.842176923908816e-05,-0.0002443090081215016,-0.0002060458064079007,0.00030079155694689996,0.0001160208135843055
LTE-EQ,urban100,x16,10,20.273032204293365,0.4738348699358596,0.1026722172373335,0.1581293821334838,0.1799793124198913,0.032543666777201,0.1803353287279606,1.5365983683644048e-07,1.591636952951063e-08,2.4539710338782675e-09,16,x8-x30,20.240715072717244,0.4761711323785668,0.1028019741495415,0.1595784902572631,0.1810270249843597,0.0300448080291971,0.1803485095500946,0.03231713157612148,-0.002336262442707182,-0.00012975691220799834,-0.0014491081237792969,-0.0010477125644684226,0.002498858748003898,-1.3180822134001291e-05
LTE-EQ,urban100,x30,10,18.63766459443161,0.3564475169769013,0.1227919539946273,0.1741479367017745,0.2001948103308677,0.0585880300495773,0.1825275890529155,2.681240716398992e-07,1.7684176556644468e-08,2.7487307321343833e-09,30,x8-x30,18.57450380200926,0.3575002593549228,0.1237741921284911,0.1760892890393734,0.2019734375178813,0.0586111700162291,0.1825314693152904,0.06316079242234807,-0.0010527423780214984,-0.0009822381338637914,-0.0019413523375989006,-0.001778627187013604,-2.3139966651798682e-05,-3.880262374911236e-06
LTE-NoCell,bsd100,x4,10,27.59944654012552,0.8177575288234902,0.0441050890136632,0.075466126576066,0.0793953731656074,0.0081425967175164,0.1263091135770082,1.6916138396064726e-08,3.127410677643911e-08,5.785790315376603e-09,4,x4,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,-0.06884759537385676,-0.001734082903608325,0.0002796868225614993,0.0005785588175058892,0.0008245591074227954,7.4516006862007655e-06,0.0009844556450843978
LTE-NoCell,bsd100,x8,10,24.9251396781322,0.6631131348164141,0.059185159062106,0.0989478934556245,0.1081916127353906,0.0114841186674311,0.1312661219388246,1.4781063936995626e-07,3.960643359485477e-08,6.193697470732008e-09,8,x8-x30,24.96631074557208,0.6642750632251252,0.0590104460440275,0.0988209120929241,0.1076206345111131,0.0113359282666351,0.1308528516441583,-0.04117106743987975,-0.0011619284087110993,0.00017471301807850392,0.0001269813627004096,0.0005709782242774991,0.000148190400796,0.00041327029466628473
LTE-NoCell,bsd100,x16,10,22.77523533752979,0.5093709745789058,0.0749204411475299,0.117676568031311,0.1335100419819355,0.0210102926241233,0.1338840212672948,3.8567568528302427e-07,4.5443343811451706e-08,6.973062716313447e-09,16,x8-x30,22.767463576778503,0.5093332884416716,0.0750040754169017,0.1183887965977192,0.1338248185813427,0.0201950863352976,0.1338663127273321,0.007771760751285939,3.768613723420522e-05,-8.363426937180174e-05,-0.0007122285664081934,-0.00031477659940720715,0.0008152062888257018,1.770853996269084e-05
LTE-NoCell,bsd100,x30,10,20.743859116612008,0.4174076043266789,0.0935868431360569,0.135144780576229,0.1564636252820491,0.0399711743928492,0.1370312198996544,9.180745149724108e-07,6.210110008527132e-08,9.47624282147717e-09,30,x8-x30,20.6857710895601,0.4169935903134113,0.0941821512327992,0.1375180035829544,0.1587272860109806,0.0386381211690604,0.1370385240763426,0.05808802705190885,0.0004140140132675718,-0.0005953080967422975,-0.0023732230067254056,-0.002263660728931499,0.0013330532237888007,-7.304176688205377e-06
LTE-NoCell,urban100,x4,10,26.389516661516904,0.849819857934491,0.0518944380241669,0.0891899593174457,0.0935931168496608,0.0086630834732204,0.1628333069384098,3.7205905910279963e-09,8.868291909967997e-09,2.073155261125084e-09,4,x4,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,-0.17912324872686725,-0.006068021047911709,0.001069561371916397,0.0020043130964041006,0.0025964528322219987,5.3736357949699803e-05,0.0026752009987831005
LTE-NoCell,urban100,x8,10,22.694995225636767,0.6742889461689083,0.0780858490823626,0.1312721580266952,0.1436807714402675,0.0143856812268495,0.177945389598608,5.338948099726463e-08,1.4402943962716776e-08,2.2899315275732127e-09,8,x8-x30,22.720312690132523,0.6812082009045406,0.0777025273473859,0.1313483990728855,0.1430824123322963,0.0136669747997075,0.1777480937540531,-0.02531746449575678,-0.006919254735632263,0.0003833217349766965,-7.624104619030625e-05,0.0005983591079712081,0.0007187064271420001,0.00019729584455491223
LTE-NoCell,urban100,x16,10,20.31099151282328,0.4759495127170631,0.1020070738206387,0.1575766406953334,0.1793357200920581,0.0310324808349832,0.1803296782076358,1.4900291761244994e-07,1.591390286687852e-08,2.453421622384248e-09,16,x8-x30,20.240715072717244,0.4761711323785668,0.1028019741495415,0.1595784902572631,0.1810270249843597,0.0300448080291971,0.1803485095500946,0.07027644010603495,-0.0002216196615036914,-0.000794900328902795,-0.002001849561929697,-0.001691304892301626,0.0009876728057860995,-1.8831342458808242e-05
LTE-NoCell,urban100,x30,10,18.6290693631218,0.3571587486030113,0.1229880406348525,0.1746397480368614,0.2007573798298835,0.0586934580467641,0.1825312376022339,2.6892431737988405e-07,1.7685380697892893e-08,2.749093700355074e-09,30,x8-x30,18.57450380200926,0.3575002593549228,0.1237741921284911,0.1760892890393734,0.2019734375178813,0.0586111700162291,0.1825314693152904,0.05456556111253974,-0.00034151075191152236,-0.000786151493638601,-0.001449541002512017,-0.0012160576879977902,8.228803053500489e-05,-2.3171305651992213e-07
LTE-FeaturePhase,bsd100,x4,10,27.61747318406989,0.8179292537800766,0.0440228580689248,0.0753194913268089,0.0792038328945636,0.0081374673201935,0.1261164586991071,1.6867071248336204e-08,3.1161205629311135e-08,5.769532127497397e-09,4,x4,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,-0.05082095142948617,-0.001562357947021864,0.0001974558778230981,0.00043192356824879596,0.0006330188363790068,2.32220336330094e-06,0.0007918007671832983
LTE-FeaturePhase,bsd100,x8,10,24.93215688676409,0.6632620910110443,0.0591091295664834,0.0988120540976524,0.10800805054605,0.011395499727223,0.1312141317874193,1.4712689032470578e-07,3.95123114282145e-08,6.1920023823663615e-09,8,x8-x30,24.96631074557208,0.6642750632251252,0.0590104460440275,0.0988209120929241,0.1076206345111131,0.0113359282666351,0.1308528516441583,-0.034153858807989934,-0.0010129722140809205,9.868352245590017e-05,-8.857995271699393e-06,0.00038741603493690213,5.9571460587900735e-05,0.00036128014326100577
LTE-FeaturePhase,bsd100,x16,10,22.769628414146453,0.509648195700997,0.0749298405997139,0.1176878951489925,0.1336782127618789,0.0207296001492068,0.1338849302381277,3.853545672719579e-07,4.544464885640348e-08,6.972790301316304e-09,16,x8-x30,22.767463576778503,0.5093332884416716,0.0750040754169017,0.1183887965977192,0.1338248185813427,0.0201950863352976,0.1338663127273321,0.0021648373679497013,0.0003149072593253699,-7.423481718779601e-05,-0.0007009014487266985,-0.00014660581946379647,0.0005345138139092008,1.8617510795598813e-05
LTE-FeaturePhase,bsd100,x30,10,20.75737592290114,0.4177775159498392,0.0934276083704742,0.1349938862025737,0.1562441796064377,0.0394557716324925,0.1370322823524475,9.133021055813344e-07,6.209954092029659e-08,9.476982074600892e-09,30,x8-x30,20.6857710895601,0.4169935903134113,0.0941821512327992,0.1375180035829544,0.1587272860109806,0.0386381211690604,0.1370385240763426,0.07160483334104129,0.0007839256364278735,-0.000754542862325,-0.0025241173803807193,-0.002483106404542912,0.0008176504634321013,-6.241723895100693e-06
LTE-FeaturePhase,urban100,x4,10,26.425118426496788,0.850196644105812,0.0516058766921793,0.0886924862861633,0.0930359963327646,0.0086218566866591,0.1623429577797651,3.634200582794079e-09,8.717903182828873e-09,2.06425218232992e-09,4,x4,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,-0.1435214837469836,-0.005691234876590734,0.0007810000399288003,0.001506840065121709,0.002039332315325798,1.2509571388399227e-05,0.002184851840138391
LTE-FeaturePhase,urban100,x8,10,22.72424733267582,0.6753583549302854,0.0777129968781988,0.130862071365118,0.1431906044483185,0.0138528770999982,0.1778773330152034,5.1707359765477015e-08,1.4353898136663766e-08,2.289399189742221e-09,8,x8-x30,22.720312690132523,0.6812082009045406,0.0777025273473859,0.1313483990728855,0.1430824123322963,0.0136669747997075,0.1777480937540531,0.0039346425432960075,-0.005849845974255197,1.0469530812892702e-05,-0.0004863277077675199,0.0001081921160221988,0.00018590230029070023,0.00012923926115029905
LTE-FeaturePhase,urban100,x16,10,20.30585457330504,0.4766393979066197,0.1021746361140659,0.1576212510466575,0.1793712675571441,0.0319108257768675,0.1803097829222679,1.50396049427146e-07,1.591037007652488e-08,2.453336286279335e-09,16,x8-x30,20.240715072717244,0.4761711323785668,0.1028019741495415,0.1595784902572631,0.1810270249843597,0.0300448080291971,0.1803485095500946,0.06513950058779727,0.00046826552805290245,-0.0006273380354755997,-0.001957239210605588,-0.001655757427215604,0.0018660177476703989,-3.8726627826696225e-05
LTE-FeaturePhase,urban100,x30,10,18.66886870374837,0.3587050842440624,0.1224571091904796,0.1741161279380321,0.200122095644474,0.0582552377600222,0.1825288631021976,2.665262904989575e-07,1.7684924773063007e-08,2.749067079126928e-09,30,x8-x30,18.57450380200926,0.3575002593549228,0.1237741921284911,0.1760892890393734,0.2019734375178813,0.0586111700162291,0.1825314693152904,0.09436490173910883,0.0012048248891395885,-0.001317082938011499,-0.0019731611013412975,-0.0018513418734072973,-0.0003559322562068992,-2.606213092809506e-06
SC-INR-Fixed,bsd100,x4,10,27.65251450828339,0.8190321537358086,0.0439233132618475,0.0750854510813951,0.0787737026810646,0.0081286416680086,0.1255594696849584,1.7552561942596502e-08,3.100171579328602e-08,5.717952719111929e-09,4,x4,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,-0.0157796272159878,-0.00045945799128987996,9.791107074579725e-05,0.00019788332283499077,0.00020288862287999587,-6.503448821599395e-06,0.00023481175303460833
SC-INR-Fixed,bsd100,x8,10,24.967268641886687,0.6650687136095781,0.0590071414764017,0.098856983333826,0.1076097629964351,0.0113125591509742,0.1309205994009971,1.4859641436646685e-07,3.914946407029342e-08,6.1849118151004175e-09,8,x8-x30,24.96631074557208,0.6642750632251252,0.0590104460440275,0.0988209120929241,0.1076206345111131,0.0113359282666351,0.1308528516441583,0.0009578963146061881,0.000793650384452893,-3.304567625796173e-06,3.6071240901908164e-05,-1.087151467800418e-05,-2.3369115660899775e-05,6.774775683879297e-05
