seed: 2
deterministic: False
CUDA_VISIBLE_DEVICES: 3
train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 106/1000, train: loss=0.0329, val: psnr=29.9046, 1.6m 2.9h/27.4h
epoch 107/1000, train: loss=0.0326, val: psnr=29.9074, 1.6m 2.9h/27.4h
epoch 108/1000, train: loss=0.0328, val: psnr=29.7665, 1.6m 3.0h/27.4h
epoch 109/1000, train: loss=0.0327, val: psnr=29.5490, 1.6m 3.0h/27.4h
epoch 110/1000, train: loss=0.0329, val: psnr=29.6750, 1.6m 3.0h/27.4h
epoch 111/1000, train: loss=0.0329, val: psnr=29.8291, 1.6m 3.0h/27.4h
epoch 112/1000, train: loss=0.0329, val: psnr=29.5003, 1.6m 3.1h/27.4h
epoch 113/1000, train: loss=0.0327, val: psnr=29.9095, 1.6m 3.1h/27.4h
epoch 114/1000, train: loss=0.0329, val: psnr=29.4569, 1.6m 3.1h/27.4h
epoch 115/1000, train: loss=0.0331, val: psnr=29.9324, 1.6m 3.1h/27.4h
epoch 116/1000, train: loss=0.0328, val: psnr=29.9486, 1.6m 3.2h/27.4h
epoch 117/1000, train: loss=0.0328, val: psnr=29.9190, 1.6m 3.2h/27.4h
epoch 118/1000, train: loss=0.0328, val: psnr=29.6178, 1.6m 3.2h/27.4h
epoch 119/1000, train: loss=0.0326, val: psnr=29.8386, 1.6m 3.3h/27.4h
epoch 120/1000, train: loss=0.0326, val: psnr=29.8949, 1.6m 3.3h/27.4h
epoch 121/1000, train: loss=0.0330, val: psnr=29.5451, 1.6m 3.3h/27.4h
epoch 122/1000, train: loss=0.0323, val: psnr=29.6028, 1.6m 3.3h/27.4h
epoch 123/1000, train: loss=0.0324, val: psnr=29.9215, 1.6m 3.4h/27.4h
epoch 124/1000, train: loss=0.0326, val: psnr=29.7580, 1.6m 3.4h/27.4h
epoch 125/1000, train: loss=0.0329, val: psnr=29.8118, 1.6m 3.4h/27.4h
epoch 126/1000, train: loss=0.0325, val: psnr=30.0028, 1.6m 3.5h/27.4h
epoch 127/1000, train: loss=0.0326, val: psnr=29.5479, 1.6m 3.5h/27.4h
epoch 128/1000, train: loss=0.0328, val: psnr=29.7304, 1.6m 3.5h/27.4h
epoch 129/1000, train: loss=0.0326, val: psnr=29.7789, 1.6m 3.5h/27.4h
epoch 130/1000, train: loss=0.0324, val: psnr=29.6624, 1.6m 3.6h/27.4h
epoch 131/1000, train: loss=0.0322, val: psnr=29.8622, 1.6m 3.6h/27.4h
epoch 132/1000, train: loss=0.0324, val: psnr=29.6265, 1.7m 3.6h/27.4h
epoch 133/1000, train: loss=0.0322, val: psnr=29.9160, 1.6m 3.6h/27.4h
epoch 134/1000, train: loss=0.0322, val: psnr=29.8458, 1.6m 3.7h/27.4h
epoch 135/1000, train: loss=0.0328, val: psnr=30.1107, 1.6m 3.7h/27.4h
epoch 136/1000, train: loss=0.0325, val: psnr=29.9693, 1.6m 3.7h/27.4h
epoch 137/1000, train: loss=0.0325, val: psnr=29.6699, 1.6m 3.8h/27.4h
epoch 138/1000, train: loss=0.0325, val: psnr=29.5411, 1.6m 3.8h/27.4h
