dataset,image,x,y,crop_size,texture_score,model,cell_multiplier,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,delta_oracle_corr_y,delta_oracle_best_shift_x,delta_oracle_best_shift_y,delta_oracle_best_shift_corr_y,highpass_delta_rms_y
urban100,img_001.png,928,288,96,0.31846175,LTE,4,0.03666244,0.07028688,0.05713926,0.08080338,0.52574616,0,0,0.52574616,0.11939780
urban100,img_001.png,928,288,96,0.31846175,LTE-PhaseZ,4,0.04489126,0.08080338,0.00000000,0.08080338,nan,0,0,-inf,0.00000000
urban100,img_001.png,928,288,96,0.31846175,SC-INR,4,0.03252378,0.06926153,0.05208626,0.08080338,0.52807252,0,0,0.52807252,0.11070319
urban100,img_001.png,928,288,96,0.31846175,SC-INR-NoSinc,4,0.04678734,0.08080338,0.00000000,0.08080338,nan,0,0,-inf,0.00000000
bsd100,102061.png,0,192,96,0.31244396,LIIF,4,0.02763547,0.06936425,0.04541238,0.08005659,0.50351155,0,0,0.50351155,0.08521522
bsd100,102061.png,0,192,96,0.31244396,LTE,4,0.03235384,0.07043441,0.05059925,0.08005659,0.49477048,0,0,0.49477048,0.10313544
bsd100,102061.png,0,192,96,0.31244396,LTE-PhaseZ,4,0.03729431,0.08005659,0.00000000,0.08005659,nan,0,0,-inf,0.00000000
bsd100,102061.png,0,192,96,0.31244396,SC-INR,4,0.03083531,0.07024717,0.04679498,0.08005659,0.48928673,0,0,0.48928673,0.09824293
bsd100,102061.png,0,192,96,0.31244396,SC-INR-NoSinc,4,0.04165440,0.08005659,0.00000000,0.08005659,nan,0,0,-inf,0.00000000
urban100,img_001.png,576,96,96,0.30694246,LIIF,4,0.02273448,0.05491008,0.04846551,0.07281223,0.65728573,0,0,0.65728573,0.09955182
urban100,img_001.png,576,96,96,0.30694246,LTE,4,0.02918346,0.05756694,0.05540223,0.07281223,0.62704481,0,0,0.62704481,0.11986598
urban100,img_001.png,576,96,96,0.30694246,LTE-PhaseZ,4,0.04191153,0.07281223,0.00000000,0.07281223,nan,0,0,-inf,0.00000000
urban100,img_001.png,576,96,96,0.30694246,SC-INR,4,0.02572719,0.05560974,0.05013722,0.07281223,0.64686848,0,0,0.64686848,0.11339364
urban100,img_001.png,576,96,96,0.30694246,SC-INR-NoSinc,4,0.04351578,0.07281223,0.00000000,0.07281223,nan,0,0,-inf,0.00000000
bsd100,101087.png,192,96,96,0.28895465,LIIF,4,0.02170442,0.05358761,0.02515611,0.05708076,0.35512906,0,0,0.35512906,0.05931913
bsd100,101087.png,192,96,96,0.28895465,LTE,4,0.02660368,0.05525186,0.02930503,0.05708076,0.31833319,0,0,0.31833319,0.07455687
bsd100,101087.png,192,96,96,0.28895465,LTE-PhaseZ,4,0.02587898,0.05708076,0.00000000,0.05708076,nan,0,0,-inf,0.00000000
bsd100,101087.png,192,96,96,0.28895465,SC-INR,4,0.02503907,0.05490549,0.02735633,0.05708076,0.31768958,0,0,0.31768958,0.07067187
bsd100,101087.png,192,96,96,0.28895465,SC-INR-NoSinc,4,0.02683888,0.05708076,0.00000000,0.05708076,nan,0,0,-inf,0.00000000
bsd100,101087.png,225,0,96,0.26262190,LIIF,4,0.00771400,0.01676606,0.03057098,0.03243975,0.86008187,0,0,0.86008187,0.07257580
bsd100,101087.png,225,0,96,0.26262190,LTE,4,0.01240612,0.02014802,0.03126463,0.03243975,0.80095675,0,0,0.80095675,0.08786307
bsd100,101087.png,225,0,96,0.26262190,LTE-PhaseZ,4,0.03340445,0.03243975,0.00000000,0.03243975,nan,0,0,-inf,0.00000000
bsd100,101087.png,225,0,96,0.26262190,SC-INR,4,0.01305045,0.01921729,0.02431874,0.03243975,0.80863405,0,0,0.80863405,0.07237701
bsd100,101087.png,225,0,96,0.26262190,SC-INR-NoSinc,4,0.02920145,0.03243975,0.00000000,0.03243975,nan,0,0,-inf,0.00000000
bsd100,101087.png,96,96,96,0.25661644,LIIF,4,0.01569681,0.03585689,0.02231087,0.04113400,0.49306841,0,0,0.49306841,0.04781327
bsd100,101087.png,96,96,96,0.25661644,LTE,4,0.01868877,0.03724709,0.02764381,0.04113400,0.46998825,0,0,0.46998825,0.06219532
bsd100,101087.png,96,96,96,0.25661644,LTE-PhaseZ,4,0.02286556,0.04113400,0.00000000,0.04113400,nan,0,0,-inf,0.00000000
bsd100,101087.png,96,96,96,0.25661644,SC-INR,4,0.01748200,0.03649610,0.02430244,0.04113400,0.47551128,0,0,0.47551128,0.05839375
bsd100,101087.png,96,96,96,0.25661644,SC-INR-NoSinc,4,0.02387416,0.04113400,0.00000000,0.04113400,nan,0,0,-inf,0.00000000
