experiment,model,signal_type,dataset,image,scale,inside_train_scale_range,delta_rms_vs_first_cell,signal_mean,signal_std,signal_min,signal_q01,signal_q05,signal_q50,signal_q95,signal_q99,signal_max,signal_rms
6.5_ood_cell_extrapolation,SC-INR,analytic_sinc_response,urban100,img_001.png,x2,True,0.28421565890312195,0.8695340752601624,0.20160174369812012,0.255196213722229,0.35856422781944275,0.40385666489601135,0.9714577794075012,0.9998042583465576,0.9999732971191406,0.9999998807907104,0.8888434171676636
6.5_ood_cell_extrapolation,SC-INR,analytic_sinc_response,urban100,img_001.png,x3,True,0.39294224977493286,0.9364194273948669,0.10070770978927612,0.6061127781867981,0.6718621850013733,0.6992719769477844,0.9872486591339111,0.9999130368232727,0.9999881982803345,1.0,0.9384070634841919
6.5_ood_cell_extrapolation,SC-INR,analytic_sinc_response,urban100,img_001.png,x4,True,0.4406992197036743,0.9630517959594727,0.059021998196840286,0.764561116695404,0.8061654567718506,0.8232062458992004,0.9928146004676819,0.9999510645866394,0.9999933242797852,1.0,0.9622061252593994
6.5_ood_cell_extrapolation,SC-INR,analytic_sinc_response,urban100,img_001.png,x6,False,0.4787037670612335,0.9831903576850891,0.027013666927814484,0.8907254934310913,0.9107908010482788,0.9189109206199646,0.9968019723892212,0.999978244304657,0.9999970197677612,1.0,0.9820715188980103
6.5_ood_cell_extrapolation,SC-INR,analytic_sinc_response,urban100,img_001.png,x8,False,0.4928523600101471,0.9904667735099792,0.01535226684063673,0.9375942945480347,0.9492034316062927,0.9538822770118713,0.9982001781463623,0.999987781047821,0.9999983310699463,1.0,0.9896764755249023
6.5_ood_cell_extrapolation,SC-INR,analytic_sinc_response,urban100,img_001.png,x12,False,0.5032433867454529,0.9957379698753357,0.006873553618788719,0.9719623327255249,0.9772260785102844,0.9793412685394287,0.9991998672485352,0.9999945759773254,0.9999992251396179,1.0,0.9953335523605347
6.5_ood_cell_extrapolation,SC-INR,analytic_sinc_response,urban100,img_001.png,x16,False,0.5069376826286316,0.9975978136062622,0.0038763319607824087,0.9841690063476562,0.9871505498886108,0.9883474707603455,0.9995498061180115,0.9999969601631165,0.9999995827674866,1.0,0.9973595142364502
6.5_ood_cell_extrapolation,SC-INR,analytic_sinc_response,urban100,img_001.png,x24,False,0.5095950365066528,0.998930811882019,0.0017259828746318817,0.9929450154304504,0.9942767024040222,0.9948108196258545,0.9997999668121338,0.9999986290931702,0.9999998211860657,1.0,0.9988214373588562
6.5_ood_cell_extrapolation,SC-INR,analytic_sinc_response,urban100,img_001.png,x30,False,0.5103632211685181,0.9993154406547546,0.0011052145855501294,0.9954812526702881,0.9963347315788269,0.9966771006584167,0.9998719096183777,0.9999991059303284,0.9999998807907104,1.0,0.999244749546051
6.5_ood_cell_extrapolation,SC-INR-EQ,analytic_sinc_response,urban100,img_001.png,x1,True,0.0,0.6015192866325378,0.4435341954231262,-0.21721726655960083,-0.21607819199562073,-0.20664164423942566,0.8591817617416382,0.9983828663825989,0.9998038411140442,0.9999997615814209,0.7444095015525818
6.5_ood_cell_extrapolation,SC-INR-EQ,analytic_sinc_response,urban100,img_001.png,x2,True,0.30589330196380615,0.8138800263404846,0.2552803158760071,0.009257595054805279,0.16989099979400635,0.2836134433746338,0.9633665084838867,0.9995955228805542,0.9999509453773499,0.9999998807907104,0.8686744570732117
6.5_ood_cell_extrapolation,SC-INR-EQ,analytic_sinc_response,urban100,img_001.png,x3,True,0.43144550919532776,0.9056850671768188,0.13418278098106384,0.38131648302078247,0.5450266599655151,0.6242188811302185,0.9835910201072693,0.9998201727867126,0.999978244304657,1.0,0.927885115146637
6.5_ood_cell_extrapolation,SC-INR-EQ,analytic_sinc_response,urban100,img_001.png,x4,True,0.48510271310806274,0.944405734539032,0.0801009014248848,0.6062512397766113,0.7248398661613464,0.7762805223464966,0.9907459020614624,0.9998988509178162,0.999987781047821,1.0,0.9561023712158203
6.5_ood_cell_extrapolation,SC-INR-EQ,analytic_sinc_response,urban100,img_001.png,x6,False,0.5270219445228577,0.974444568157196,0.03715285286307335,0.8087342381477356,0.8708612322807312,0.8963424563407898,0.9958795309066772,0.9999550580978394,0.9999945163726807,1.0,0.9793320894241333
6.5_ood_cell_extrapolation,SC-INR-EQ,analytic_sinc_response,urban100,img_001.png,x8,False,0.5424483418464661,0.9854537844657898,0.021213939413428307,0.8890010714530945,0.9259799718856812,0.9408541321754456,0.9976806640625,0.9999747276306152,0.9999969601631165,1.0,0.9881348013877869
6.5_ood_cell_extrapolation,SC-INR-EQ,analytic_sinc_response,urban100,img_001.png,x12,False,0.5537158846855164,0.9934799671173096,0.00952998735010624,0.9495529532432556,0.9666603207588196,0.9734464287757874,0.9989687204360962,0.9999887347221375,0.9999986290931702,1.0,0.9946488738059998
6.5_ood_cell_extrapolation,SC-INR-EQ,analytic_sinc_response,urban100,img_001.png,x16,False,0.557709276676178,0.9963215589523315,0.005380772054195404,0.9714006781578064,0.9811597466468811,0.9850108027458191,0.9994198083877563,0.9999936819076538,0.9999992847442627,1.0,0.9969744682312012
6.5_ood_cell_extrapolation,SC-INR-EQ,analytic_sinc_response,urban100,img_001.png,x24,False,0.5605775713920593,0.9983617067337036,0.0023978755343705416,0.9872179627418518,0.9915990829467773,0.9933211803436279,0.9997421503067017,0.9999971985816956,0.9999996423721313,1.0,0.9986504316329956
6.5_ood_cell_extrapolation,SC-INR-EQ,analytic_sinc_response,urban100,img_001.png,x30,False,0.561406135559082,0.9989508390426636,0.0015358264790847898,0.9918063282966614,0.99461829662323,0.9957223534584045,0.9998348951339722,0.9999982118606567,0.9999998211860657,1.0,0.9991353154182434
