model,dataset,image,lr_scale,observation_scale,frequency_bin,n_values,use_sinc_response,omega_mag_mean,omega_mag_std,omega_mag_min,omega_mag_q05,omega_mag_q50,omega_mag_q95,omega_mag_max,coef_pair_mag_mean,coef_pair_mag_std,coef_pair_mag_min,coef_pair_mag_q05,coef_pair_mag_q50,coef_pair_mag_q95,coef_pair_mag_max,response_mean,response_std,response_min,response_q05,response_q50,response_q95,response_max,response_abs_mean,response_abs_std,response_abs_min,response_abs_q05,response_abs_q50,response_abs_q95,response_abs_max,active_response_mean,active_response_std,active_response_min,active_response_q05,active_response_q50,active_response_q95,active_response_max,active_response_abs_mean,active_response_abs_std,active_response_abs_min,active_response_abs_q05,active_response_abs_q50,active_response_abs_q95,active_response_abs_max,effective_pair_mag_mean,effective_pair_mag_std,effective_pair_mag_min,effective_pair_mag_q05,effective_pair_mag_q50,effective_pair_mag_q95,effective_pair_mag_max,response_neg_frac,active_response_neg_frac,effective_over_coef_mag_mean,effective_energy_ratio
SC-INR-NoSinc,bsd100,102061.png,x4,x30,low,43691,False,0.041757356375455856,0.028802279382944107,7.947516860440373e-05,0.00601131422445178,0.0350121445953846,0.09801848977804184,0.110334612429142,0.42462074756622314,0.35583585500717163,0.002131133573129773,0.05163067206740379,0.3206087648868561,1.1595382690429688,2.3899271488189697,0.9999953508377075,5.5621994761168025e-06,0.9999776482582092,0.9999824166297913,0.9999977946281433,0.9999999403953552,1.0,0.9999953508377075,5.5621994761168025e-06,0.9999776482582092,0.9999824166297913,0.9999977946281433,0.9999999403953552,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.42462074756622314,0.35583585500717163,0.002131133573129773,0.05163067206740379,0.3206087648868561,1.1595382690429688,2.3899271488189697,0.0,0.0,1.0,1.0
SC-INR-NoSinc,bsd100,102061.png,x4,x30,mid,43690,False,0.25733456015586853,0.07866764813661575,0.11033841222524643,0.12301003932952881,0.2711021900177002,0.3702133595943451,0.38674190640449524,0.2554446756839752,0.1961301863193512,0.0005603044992312789,0.04325319081544876,0.21225261688232422,0.6163461208343506,2.6843645572662354,0.9998676776885986,7.148143777158111e-05,0.9997265934944153,0.999749481678009,0.9998656511306763,0.9999723434448242,0.9999778270721436,0.9998676776885986,7.148143777158111e-05,0.9997265934944153,0.999749481678009,0.9998656511306763,0.9999723434448242,0.9999778270721436,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2554446756839752,0.1961301863193512,0.0005603044992312789,0.04325319081544876,0.21225261688232422,0.6163461208343506,2.6843645572662354,0.0,0.0,1.0,1.0
SC-INR-NoSinc,bsd100,102061.png,x4,x30,high,43691,False,0.8417240381240845,0.520133912563324,0.3867729902267456,0.4025709927082062,0.6394814252853394,2.0681629180908203,2.6994264125823975,0.2201024293899536,0.2059270441532135,0.00021474510140251368,0.030588652938604355,0.15769259631633759,0.6219737529754639,2.236659526824951,0.9982136487960815,0.0024517523124814034,0.9867521524429321,0.9922006726264954,0.9992527961730957,0.9997037649154663,0.9997266530990601,0.9982136487960815,0.0024517523124814034,0.9867521524429321,0.9922006726264954,0.9992527961730957,0.9997037649154663,0.9997266530990601,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2201024293899536,0.2059270441532135,0.00021474510140251368,0.030588652938604355,0.15769259631633759,0.6219737529754639,2.236659526824951,0.0,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x2,all,131072,False,0.39015811681747437,0.4488644301891327,7.093626481946558e-05,0.016511108726263046,0.27543607354164124,1.2503520250320435,2.6844370365142822,0.32829833030700684,0.26950669288635254,0.00031112704891711473,0.048295434564352036,0.25465625524520874,0.8551859259605408,2.6379895210266113,0.8925790190696716,0.20795294642448425,-0.04687392711639404,0.47112470865249634,0.9691476821899414,0.9998878836631775,1.0,0.8936420679092407,0.2033361792564392,6.660200142505346e-06,0.47112470865249634,0.9691476821899414,0.9998878836631775,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.32829833030700684,0.26950669288635254,0.00031112704891711473,0.048295434564352036,0.25465625524520874,0.8551859259605408,2.6379895210266113,0.02288818359375,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x2,low,43691,False,0.05500579625368118,0.035903360694646835,7.093626481946558e-05,0.007836621254682541,0.04792780801653862,0.12183434516191483,0.13410119712352753,0.43272659182548523,0.3283337652683258,0.0023451056331396103,0.06937670707702637,0.34749314188957214,1.1140189170837402,2.2962746620178223,0.9982280731201172,0.001943581155501306,0.9926235675811768,0.9939084649085999,0.9990556240081787,0.9999747276306152,1.0,0.9982280731201172,0.001943581155501306,0.9926235675811768,0.9939084649085999,0.9990556240081787,0.9999747276306152,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.43272659182548523,0.3283337652683258,0.0023451056331396103,0.06937670707702637,0.34749314188957214,1.1140189170837402,2.2962746620178223,0.0,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x2,mid,43690,False,0.26723676919937134,0.07156117260456085,0.1341024488210678,0.14716824889183044,0.27543607354164124,0.3744625747203827,0.38970986008644104,0.299692302942276,0.21413180232048035,0.00031112704891711473,0.05357351899147034,0.2556670308113098,0.6885926723480225,2.6379895210266113,0.9689524173736572,0.015107418410480022,0.9387292265892029,0.9434400200843811,0.9691476821899414,0.9911189675331116,0.9926255345344543,0.9689524173736572,0.015107418410480022,0.9387292265892029,0.9434400200843811,0.9691476821899414,0.9911189675331116,0.9926255345344543,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.299692302942276,0.21413180232048035,0.00031112704891711473,0.05357351899147034,0.2556670308113098,0.6885926723480225,2.6379895210266113,0.0,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x2,high,43691,False,0.8482290506362915,0.5106446146965027,0.3897210657596588,0.40654847025871277,0.6555012464523315,2.0638952255249023,2.6844370365142822,0.25247544050216675,0.21627025306224823,0.0006101265316829085,0.03506992757320404,0.1918521672487259,0.6761156320571899,2.5636563301086426,0.7105581760406494,0.28173431754112244,-0.04687392711639404,-0.007653558626770973,0.8340501189231873,0.9336018562316895,0.9390494227409363,0.7137472629547119,0.27355432510375977,6.660200142505346e-06,0.02134791389107704,0.8340501189231873,0.9336018562316895,0.9390494227409363,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25247544050216675,0.21627025306224823,0.0006101265316829085,0.03506992757320404,0.1918521672487259,0.6761156320571899,2.5636563301086426,0.06866402924060822,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x4,all,131072,False,0.39015811681747437,0.4488644301891327,7.093626481946558e-05,0.016511108726263046,0.27543607354164124,1.2503520250320435,2.6844370365142822,0.32829833030700684,0.26950669288635254,0.00031112704891711473,0.048295434564352036,0.25465625524520874,0.8551859259605408,2.6379895210266113,0.9666094779968262,0.07785457372665405,0.4459054172039032,0.846878170967102,0.9922220706939697,0.9999719858169556,1.0,0.9666094779968262,0.07785457372665405,0.4459054172039032,0.846878170967102,0.9922220706939697,0.9999719858169556,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.32829833030700684,0.26950669288635254,0.00031112704891711473,0.048295434564352036,0.25465625524520874,0.8551859259605408,2.6379895210266113,0.0,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x4,low,43691,False,0.05500579625368118,0.035903360694646835,7.093626481946558e-05,0.007836621254682541,0.04792780801653862,0.12183434516191483,0.13410119712352753,0.43272659182548523,0.3283337652683258,0.0023451056331396103,0.06937670707702637,0.34749314188957214,1.1140189170837402,2.2962746620178223,0.9995565414428711,0.00048663970665074885,0.9981524348258972,0.9984747767448425,0.9997638463973999,0.9999936819076538,1.0,0.9995565414428711,0.00048663970665074885,0.9981524348258972,0.9984747767448425,0.9997638463973999,0.9999936819076538,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.43272659182548523,0.3283337652683258,0.0023451056331396103,0.06937670707702637,0.34749314188957214,1.1140189170837402,2.2962746620178223,0.0,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x4,mid,43690,False,0.26723676919937134,0.07156117260456085,0.1341024488210678,0.14716824889183044,0.27543607354164124,0.3744625747203827,0.38970986008644104,0.299692302942276,0.21413180232048035,0.00031112704891711473,0.05357351899147034,0.2556670308113098,0.6885926723480225,2.6379895210266113,0.9921581745147705,0.0038416858296841383,0.9844655394554138,0.9856551885604858,0.9922220706939697,0.9977748990058899,0.9981523752212524,0.9921581745147705,0.0038416858296841383,0.9844655394554138,0.9856551885604858,0.9922220706939697,0.9977748990058899,0.9981523752212524,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.299692302942276,0.21413180232048035,0.00031112704891711473,0.05357351899147034,0.2556670308113098,0.6885926723480225,2.6379895210266113,0.0,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x4,high,43691,False,0.8482290506362915,0.5106446146965027,0.3897210657596588,0.40654847025871277,0.6555012464523315,2.0638952255249023,2.6844370365142822,0.25247544050216675,0.21627025306224823,0.0006101265316829085,0.03506992757320404,0.1918521672487259,0.6761156320571899,2.5636563301086426,0.9081143140792847,0.1140567809343338,0.4459054172039032,0.6161446571350098,0.9564991593360901,0.9831050634384155,0.9844747185707092,0.9081143140792847,0.1140567809343338,0.4459054172039032,0.6161446571350098,0.9564991593360901,0.9831050634384155,0.9844747185707092,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25247544050216675,0.21627025306224823,0.0006101265316829085,0.03506992757320404,0.1918521672487259,0.6761156320571899,2.5636563301086426,0.0,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x8,all,131072,False,0.39015811681747437,0.4488644301891327,7.093626481946558e-05,0.016511108726263046,0.27543607354164124,1.2503520250320435,2.6844370365142822,0.32829833030700684,0.26950669288635254,0.00031112704891711473,0.048295434564352036,0.25465625524520874,0.8551859259605408,2.6379895210266113,0.9911067485809326,0.021915849298238754,0.8278841376304626,0.9603021144866943,0.9980515241622925,0.9999930262565613,1.0,0.9911067485809326,0.021915849298238754,0.8278841376304626,0.9603021144866943,0.9980515241622925,0.9999930262565613,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.32829833030700684,0.26950669288635254,0.00031112704891711473,0.048295434564352036,0.25465625524520874,0.8551859259605408,2.6379895210266113,0.0,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x8,low,43691,False,0.05500579625368118,0.035903360694646835,7.093626481946558e-05,0.007836621254682541,0.04792780801653862,0.12183434516191483,0.13410119712352753,0.43272659182548523,0.3283337652683258,0.0023451056331396103,0.06937670707702637,0.34749314188957214,1.1140189170837402,2.2962746620178223,0.9998891353607178,0.00012170986155979335,0.9995378255844116,0.9996185302734375,0.9999409317970276,0.9999984502792358,1.0,0.9998891353607178,0.00012170986155979335,0.9995378255844116,0.9996185302734375,0.9999409317970276,0.9999984502792358,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.43272659182548523,0.3283337652683258,0.0023451056331396103,0.06937670707702637,0.34749314188957214,1.1140189170837402,2.2962746620178223,0.0,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x8,mid,43690,False,0.26723676919937134,0.07156117260456085,0.1341024488210678,0.14716824889183044,0.27543607354164124,0.3744625747203827,0.38970986008644104,0.299692302942276,0.21413180232048035,0.00031112704891711473,0.05357351899147034,0.2556670308113098,0.6885926723480225,2.6379895210266113,0.9980345368385315,0.0009645140962675214,0.996101975440979,0.9964005947113037,0.9980515241622925,0.9994434118270874,0.9995378851890564,0.9980345368385315,0.0009645140962675214,0.996101975440979,0.9964005947113037,0.9980515241622925,0.9994434118270874,0.9995378851890564,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.299692302942276,0.21413180232048035,0.00031112704891711473,0.05357351899147034,0.2556670308113098,0.6885926723480225,2.6379895210266113,0.0,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x8,high,43691,False,0.8482290506362915,0.5106446146965027,0.3897210657596588,0.40654847025871277,0.6555012464523315,2.0638952255249023,2.6844370365142822,0.25247544050216675,0.21627025306224823,0.0006101265316829085,0.03506992757320404,0.1918521672487259,0.6761156320571899,2.5636563301086426,0.9753967523574829,0.03268073499202728,0.8278841376304626,0.894058108329773,0.9890016913414001,0.9957581758499146,0.9961016774177551,0.9753967523574829,0.03268073499202728,0.8278841376304626,0.894058108329773,0.9890016913414001,0.9957581758499146,0.9961016774177551,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25247544050216675,0.21627025306224823,0.0006101265316829085,0.03506992757320404,0.1918521672487259,0.6761156320571899,2.5636563301086426,0.0,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x16,all,131072,False,0.39015811681747437,0.4488644301891327,7.093626481946558e-05,0.016511108726263046,0.27543607354164124,1.2503520250320435,2.6844370365142822,0.32829833030700684,0.26950669288635254,0.00031112704891711473,0.048295434564352036,0.25465625524520874,0.8551859259605408,2.6379895210266113,0.997739851474762,0.005650784354656935,0.9545394778251648,0.989984929561615,0.9995126724243164,0.9999982714653015,1.0,0.997739851474762,0.005650784354656935,0.9545394778251648,0.989984929561615,0.9995126724243164,0.9999982714653015,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.32829833030700684,0.26950669288635254,0.00031112704891711473,0.048295434564352036,0.25465625524520874,0.8551859259605408,2.6379895210266113,0.0,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x16,low,43691,False,0.05500579625368118,0.035903360694646835,7.093626481946558e-05,0.007836621254682541,0.04792780801653862,0.12183434516191483,0.13410119712352753,0.43272659182548523,0.3283337652683258,0.0023451056331396103,0.06937670707702637,0.34749314188957214,1.1140189170837402,2.2962746620178223,0.9999722838401794,3.0431263439822942e-05,0.9998844265937805,0.9999046325683594,0.9999852776527405,0.9999995827674866,1.0,0.9999722838401794,3.0431263439822942e-05,0.9998844265937805,0.9999046325683594,0.9999852776527405,0.9999995827674866,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.43272659182548523,0.3283337652683258,0.0023451056331396103,0.06937670707702637,0.34749314188957214,1.1140189170837402,2.2962746620178223,0.0,0.0,1.0,1.0
SC-INR-NoSinc,urban100,img_001.png,x4,x16,mid,43690,False,0.26723676919937134,0.07156117260456085,0.1341024488210678,0.14716824889183044,0.27543607354164124,0.3744625747203827,0.38970986008644104,0.299692302942276,0.21413180232048035,0.00031112704891711473,0.05357351899147034,0.2556670308113098,0.6885926723480225,2.6379895210266113,0.9995083212852478,0.00024138373555615544,0.999024510383606,0.9990992546081543,0.9995126724243164,0.9998608231544495,0.9998844861984253,0.9995083212852478,0.00024138373555615544,0.999024510383606,0.9990992546081543,0.9995126724243164,0.9998608231544495,0.9998844861984253,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.299692302942276,0.21413180232048035,0.00031112704891711473,0.05357351899147034,0.2556670308113098,0.6885926723480225,2.6379895210266113,0.0,0.0,1.0,1.0
