model,observation_scale,frequency_bin,n_rows,omega_mag_mean,coef_pair_mag_mean,response_mean,response_abs_mean,active_response_mean,active_response_abs_mean,effective_pair_mag_mean,response_neg_frac,active_response_neg_frac,effective_over_coef_mag_mean,effective_energy_ratio
SC-INR,x8,all,6,0.4591682056585948,0.3144357105096181,0.9894696772098541,0.9894696772098541,0.9894696772098541,0.9894696772098541,0.31068748235702515,0.0,0.0,0.9894696871439616,0.9680836101373037
SC-INR,x8,high,6,0.9799102147420248,0.34111471474170685,0.9715035855770111,0.9715035855770111,0.9715035855770111,0.9715035855770111,0.3307170867919922,0.0,0.0,0.9715035855770111,0.9356615046660105
SC-INR,x8,low,6,0.07323367396990459,0.3374200016260147,0.9998012284437815,0.9998012284437815,0.9998012284437815,0.9998012284437815,0.33736270666122437,0.0,0.0,0.9998012483119965,0.9997142652670542
SC-INR,x8,mid,6,0.32435766359170276,0.2647712801893552,0.9971043566862742,0.9971043566862742,0.9971043566862742,0.9971043566862742,0.2639816279212634,0.0,0.0,0.9971043864885966,0.9938860734303793
SC-INR-NoSinc,x16,all,6,0.3907848447561264,0.33272941410541534,0.9977206389109293,0.9977206389109293,1.0,1.0,0.33272941410541534,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x16,high,6,0.8504140973091125,0.266142117480437,0.9936808447043101,0.9936808447043101,1.0,1.0,0.266142117480437,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x16,low,6,0.05596290280421575,0.4336375743150711,0.9999708533287048,0.9999708533287048,1.0,1.0,0.4336375743150711,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x16,mid,6,0.26597467561562854,0.29840772847334546,0.9995103081067404,0.9995103081067404,1.0,1.0,0.29840772847334546,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x2,all,6,0.3907848447561264,0.33272941410541534,0.8920857807000478,0.8934794267018636,1.0,1.0,0.33272941410541534,0.026574452718098957,0.0,1.0,1.0
SC-INR-NoSinc,x2,high,6,0.8504140973091125,0.266142117480437,0.7090440392494202,0.7132249772548676,1.0,1.0,0.266142117480437,0.07972275093197823,0.0,1.0,1.0
SC-INR-NoSinc,x2,low,6,0.05596290280421575,0.4336375743150711,0.9981356958548228,0.9981356958548228,1.0,1.0,0.4336375743150711,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x2,mid,6,0.26597467561562854,0.29840772847334546,0.9690793255964915,0.9690793255964915,1.0,1.0,0.29840772847334546,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x30,all,6,0.3907848447561264,0.33272941410541534,0.9993490477403005,0.9993490477403005,1.0,1.0,0.33272941410541534,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x30,high,6,0.8504140973091125,0.266142117480437,0.9981947541236877,0.9981947541236877,1.0,1.0,0.266142117480437,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x30,low,6,0.05596290280421575,0.4336375743150711,0.9999917348225912,0.9999917348225912,1.0,1.0,0.4336375743150711,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x30,mid,6,0.26597467561562854,0.29840772847334546,0.999860684076945,0.999860684076945,1.0,1.0,0.29840772847334546,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x4,all,6,0.3907848447561264,0.33272941410541534,0.9663631220658621,0.9663631220658621,1.0,1.0,0.33272941410541534,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x4,high,6,0.8504140973091125,0.266142117480437,0.90736652414004,0.90736652414004,1.0,1.0,0.266142117480437,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x4,low,6,0.05596290280421575,0.4336375743150711,0.9995334049065908,0.9995334049065908,1.0,1.0,0.4336375743150711,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x4,mid,6,0.26597467561562854,0.29840772847334546,0.9921900431315104,0.9921900431315104,1.0,1.0,0.29840772847334546,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x8,all,6,0.3907848447561264,0.33272941410541534,0.9910333355267843,0.9910333355267843,1.0,1.0,0.33272941410541534,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x8,high,6,0.8504140973091125,0.266142117480437,0.9751743376255035,0.9751743376255035,1.0,1.0,0.266142117480437,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x8,low,6,0.05596290280421575,0.4336375743150711,0.9998833239078522,0.9998833239078522,1.0,1.0,0.4336375743150711,0.0,0.0,1.0,1.0
SC-INR-NoSinc,x8,mid,6,0.26597467561562854,0.29840772847334546,0.9980424841245016,0.9980424841245016,1.0,1.0,0.29840772847334546,0.0,0.0,1.0,1.0
