model,observation_scale,n,omega_mag_mean,omega_mag_q95,effective_omega_mag_mean,effective_omega_mag_q95,omega_neg_frac,omega_near_bound_frac,response_mean,response_q05,response_q50,response_q95,active_response_mean,active_response_q05,active_response_q50,active_response_q95,analytic_attenuation_mean,active_attenuation_mean
SC-INR-EQ,x16,6,0.524554451306661,1.4638866980870564,0.524554451306661,1.4638866980870564,0.31501050293445587,3.159169637001469e-08,0.9968592524528503,0.9862822890281677,0.9992274145285288,0.9999889532725016,0.9968592524528503,0.9862822890281677,0.9992274145285288,0.9999889532725016,0.0031407246133312583,0.0031407246133312583
SC-INR-EQ,x2,6,0.524554451306661,1.4638866980870564,0.524554451306661,1.4638866980870564,0.31501050293445587,3.159169637001469e-08,0.8357927401860555,0.3294542481501897,0.9514701962471008,0.9992935359477997,0.8357927401860555,0.3294542481501897,0.9514701962471008,0.9992935359477997,0.1642072523633639,0.1642072523633639
SC-INR-EQ,x24,6,0.524554451306661,1.4638866980870564,0.524554451306661,1.4638866980870564,0.31501050293445587,3.159169637001469e-08,0.9986015856266022,0.9938889841238657,0.9996566077073415,0.999995102485021,0.9986015856266022,0.9938889841238657,0.9996566077073415,0.999995102485021,0.0013984399653660755,0.0013984399653660755
SC-INR-EQ,x3,6,0.524554451306661,1.4638866980870564,0.524554451306661,1.4638866980870564,0.31501050293445587,3.159169637001469e-08,0.918312668800354,0.6529101431369781,0.9782030781110128,0.999685933192571,0.918312668800354,0.6529101431369781,0.9782030781110128,0.999685933192571,0.08168735603491466,0.08168735603491466
SC-INR-EQ,x30,6,0.524554451306661,1.4638866980870564,0.524554451306661,1.4638866980870564,0.31501050293445587,3.159169637001469e-08,0.9991045196851095,0.9960862894852957,0.9997802078723907,0.9999968608220419,0.9991045196851095,0.9960862894852957,0.9997802078723907,0.9999968608220419,0.00089547456203339,0.00089547456203339
SC-INR-EQ,x4,6,0.524554451306661,1.4638866980870564,0.524554451306661,1.4638866980870564,0.31501050293445587,3.159169637001469e-08,0.952160100142161,0.7941451370716095,0.9876939157644907,0.9998233616352081,0.952160100142161,0.7941451370716095,0.9876939157644907,0.9998233616352081,0.04783990979194641,0.04783990979194641
SC-INR-EQ,x6,6,0.524554451306661,1.4638866980870564,0.524554451306661,1.4638866980870564,0.31501050293445587,3.159169637001469e-08,0.978110651175181,0.9049850702285767,0.9945160945256551,0.9999214808146158,0.978110651175181,0.9049850702285767,0.9945160945256551,0.9999214808146158,0.021889351308345795,0.021889351308345795
SC-INR-EQ,x8,6,0.524554451306661,1.4638866980870564,0.524554451306661,1.4638866980870564,0.31501050293445587,3.159169637001469e-08,0.9875606795152029,0.945834219455719,0.9969124098618826,0.9999558528264364,0.9875606795152029,0.945834219455719,0.9969124098618826,0.9999558528264364,0.012439315672963858,0.012439315672963858
SC-INR-NoSinc,x12,6,0.4136589616537094,1.401525576909383,0.4136589616537094,1.401525576909383,0.3968780189752579,0.013476349879056215,0.9953312277793884,0.9769883255163828,0.9991611043612162,0.9999964336554209,1.0,1.0,1.0,1.0,0.004668778584649165,0.0
SC-INR-NoSinc,x16,6,0.4136589616537094,1.401525576909383,0.4136589616537094,1.401525576909383,0.3968780189752579,0.013476349879056215,0.9973612527052561,0.9870097736517588,0.9995280504226685,0.9999979933102926,1.0,1.0,1.0,1.0,0.0026387531931201615,0.0
SC-INR-NoSinc,x2,6,0.4136589616537094,1.401525576909383,0.4136589616537094,1.401525576909383,0.3968780189752579,0.013476349879056215,0.8788288732369741,0.3732892908155918,0.9701304336388906,0.9998713334401449,1.0,1.0,1.0,1.0,0.12117112427949905,0.0
SC-INR-NoSinc,x24,6,0.4136589616537094,1.401525576909383,0.4136589616537094,1.401525576909383,0.3968780189752579,0.013476349879056215,0.9988231857617696,0.9942118326822916,0.9997902313868204,0.9999991158644358,1.0,1.0,1.0,1.0,0.001176797649047027,0.0
SC-INR-NoSinc,x3,6,0.4136589616537094,1.401525576909383,0.4136589616537094,1.401525576909383,0.3968780189752579,0.013476349879056215,0.9358930885791779,0.6738153298695883,0.9866408109664917,0.999942829211553,1.0,1.0,1.0,1.0,0.06410694246490796,0.0
