model,observation_scale,n,mean_y,std_y,rmse_y_vs_ref_cell,rmse_y_vs_previous_cell
LTE-PhaseZ,x12,1,0.2989647090435028,0.23876260221004486,0.0,0.0
LTE-PhaseZ,x16,1,0.2989647090435028,0.23876260221004486,0.0,0.0
LTE-PhaseZ,x2,1,0.2989647090435028,0.23876260221004486,0.0,0.0
LTE-PhaseZ,x24,1,0.2989647090435028,0.23876260221004486,0.0,0.0
LTE-PhaseZ,x3,1,0.2989647090435028,0.23876260221004486,0.0,0.0
LTE-PhaseZ,x30,1,0.2989647090435028,0.23876260221004486,0.0,0.0
LTE-PhaseZ,x4,1,0.2989647090435028,0.23876260221004486,0.0,0.0
LTE-PhaseZ,x6,1,0.2989647090435028,0.23876260221004486,0.0,0.0
LTE-PhaseZ,x8,1,0.2989647090435028,0.23876260221004486,0.0,0.0
SC-INR,x1,1,0.2990117073059082,0.23172788321971893,0.05080145597457886,nan
SC-INR,x1.5,1,0.299347460269928,0.23613718152046204,0.02923981100320816,0.032696954905986786
SC-INR,x12,1,0.29922056198120117,0.24232493340969086,0.0055314525961875916,0.0008320706547237933
SC-INR,x16,1,0.2992315888404846,0.24234099686145782,0.005772724281996489,0.00029073806945234537
SC-INR,x2,1,0.29902830719947815,0.23836757242679596,0.018725667148828506,0.013492729514837265
SC-INR,x24,1,0.29924073815345764,0.2423517107963562,0.005940823815762997,0.00020474701886996627
SC-INR,x3,1,0.29896727204322815,0.24079395830631256,0.005728153511881828,0.01412751991301775
SC-INR,x30,1,0.299243301153183,0.24235446751117706,0.0059881978668272495,5.8534737036097795e-05
SC-INR,x4,1,0.2990821599960327,0.24168719351291656,0.0,0.005728153511881828
SC-INR,x6,1,0.29916971921920776,0.24216429889202118,0.0037205922417342663,0.0037205922417342663
SC-INR,x8,1,0.29919564723968506,0.2422715723514557,0.004815719090402126,0.0011879083467647433
SC-INR-EQ,x1,1,0.2998664379119873,0.23108729720115662,0.04406861960887909,nan
SC-INR-EQ,x1.5,1,0.299295037984848,0.2355794906616211,0.026617832481861115,0.02629186026751995
SC-INR-EQ,x12,1,0.2992948293685913,0.24133481085300446,0.005158741492778063,0.0008128111949190497
SC-INR-EQ,x16,1,0.29932278394699097,0.24139122664928436,0.0054206144995987415,0.00028704263968393207
SC-INR-EQ,x2,1,0.2990976870059967,0.23751795291900635,0.016632284969091415,0.012518472038209438
SC-INR-EQ,x24,1,0.2993432283401489,0.2414323389530182,0.005608849227428436,0.00020740972831845284
SC-INR-EQ,x3,1,0.29900068044662476,0.2395874708890915,0.004841384012252092,0.012440956197679043
SC-INR-EQ,x30,1,0.29934924840927124,0.24144408106803894,0.00566271273419261,5.979972775094211e-05
SC-INR-EQ,x4,1,0.2990189492702484,0.2403704822063446,0.0,0.004841384012252092
SC-INR-EQ,x6,1,0.29914963245391846,0.2409626543521881,0.003307087579742074,0.003307087579742074
SC-INR-EQ,x8,1,0.2992267608642578,0.2411767989397049,0.004399297293275595,0.0011437536450102925
SC-INR-NoSinc,x1,1,0.29870396852493286,0.24049696326255798,0.0,nan
SC-INR-NoSinc,x1.5,1,0.29870396852493286,0.24049696326255798,0.0,0.0
SC-INR-NoSinc,x12,1,0.29870396852493286,0.24049696326255798,0.0,0.0
SC-INR-NoSinc,x16,1,0.29870396852493286,0.24049696326255798,0.0,0.0
SC-INR-NoSinc,x2,1,0.29870396852493286,0.24049696326255798,0.0,0.0
SC-INR-NoSinc,x24,1,0.29870396852493286,0.24049696326255798,0.0,0.0
SC-INR-NoSinc,x3,1,0.29870396852493286,0.24049696326255798,0.0,0.0
SC-INR-NoSinc,x30,1,0.29870396852493286,0.24049696326255798,0.0,0.0
SC-INR-NoSinc,x4,1,0.29870396852493286,0.24049696326255798,0.0,0.0
SC-INR-NoSinc,x6,1,0.29870396852493286,0.24049696326255798,0.0,0.0
SC-INR-NoSinc,x8,1,0.29870396852493286,0.24049696326255798,0.0,0.0
