model,path_type,dataset,image,base_scale,cell_multiplier,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,weak_oracle,valid_shave,cell_phase_rms,cell_phase_delta_rms_vs_native,feature_phase_rms,feature_phase_delta_rms_vs_native,analytic_response_mean,analytic_response_abs_mean,analytic_response_neg_frac,active_response_mean,active_response_abs_mean,active_response_neg_frac,active_response_delta_rms_vs_native,effective_pair_mag_mean,effective_pair_delta_rms_vs_native,effective_energy_ratio_mean,imnet_input_pair_mag_mean,imnet_input_pair_delta_rms_vs_native
LTE-PhaseZ,feature_conditioned_phase,bsd100,103070.png,x4,4,39.31742534592475,0.01081754555306011,0.03245317190885544,0.0,0.03245317190885544,False,0,nan,nan,0.1015225201845169,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21160036325454712,0.0
SC-INR-NoPhi,analytic_sinc_response,bsd100,103070.png,x4,1,29.51603505853557,0.03343476284546705,0.0,0.0,0.0,False,0,nan,nan,nan,nan,0.9654511213302612,0.9654511213302612,0.0,0.9654511213302612,0.9654511213302612,0.0,0.0,0.5318259000778198,0.0,0.9352936148643494,0.349961519241333,0.0
SC-INR-NoPhi,analytic_sinc_response,bsd100,103070.png,x4,2,35.46190180617313,0.016861837890792916,0.0200897678732872,0.006110283546149731,0.021175526082515717,False,0,nan,nan,nan,nan,0.8774585127830505,0.8774630427360535,0.000213623046875,0.8774585127830505,0.8774630427360535,0.000213623046875,0.1562010645866394,0.4879322052001953,0.11760731041431427,0.8042494058609009,0.32001760601997375,0.0801321342587471
SC-INR-NoPhi,analytic_sinc_response,bsd100,103070.png,x4,4,38.522813274698024,0.011853847514572503,0.031309012323617935,0.012557275593280792,0.03245317190885544,False,0,nan,nan,nan,nan,0.6751111149787903,0.7114625573158264,0.13623046875,0.6751111149787903,0.7114625573158264,0.13623046875,0.43833574652671814,0.4014495313167572,0.29421716928482056,0.5996345281600952,0.2602754831314087,0.20669852197170258
SC-INR,analytic_sinc_response,bsd100,103070.png,x4,1,29.595802791332503,0.03312911698279181,0.0,0.0,0.0,False,0,nan,nan,0.05130342021584511,0.0,0.9603723883628845,0.9603723883628845,0.0,0.9603723883628845,0.9603723883628845,0.0,0.0,0.2525029182434082,0.0,0.927031397819519,0.1574355661869049,0.0
SC-INR,analytic_sinc_response,bsd100,103070.png,x4,2,35.59420625588351,0.016606942700466577,0.020066551864147186,0.005257060751318932,0.021175526082515717,False,0,nan,nan,0.05130342021584511,0.0,0.8649442791938782,0.8649452924728394,6.103515625e-05,0.8649442791938782,0.8649452924728394,6.103515625e-05,0.17475645244121552,0.22637180984020233,0.07351991534233093,0.7941238880157471,0.13944995403289795,0.0522318109869957
SC-INR,analytic_sinc_response,bsd100,103070.png,x4,4,38.09925406652168,0.012446214937391176,0.030745819211006165,0.011778954416513443,0.03245317190885544,False,0,nan,nan,0.05130342021584511,0.0,0.675981879234314,0.713939368724823,0.127288818359375,0.675981879234314,0.713939368724823,0.127288818359375,0.4387092590332031,0.18629558384418488,0.16554652154445648,0.6117849349975586,0.11177245527505875,0.1175762191414833
SC-INR-NoSinc,no_sinc_response,bsd100,103070.png,x4,1,29.26855857393175,0.03440107953417001,0.0,0.0,0.0,False,0,nan,nan,0.050776172429323196,0.0,0.9667322635650635,0.9667322635650635,0.0,1.0,1.0,0.0,0.0,0.31537672877311707,0.0,1.0,0.20246054232120514,0.0
SC-INR-NoSinc,no_sinc_response,bsd100,103070.png,x4,2,35.5397481585275,0.016711390671508557,0.021175526082515717,0.0,0.021175526082515717,False,0,nan,nan,0.050776172429323196,0.0,0.8940154910087585,0.8958924412727356,0.03125,1.0,1.0,0.0,0.0,0.31537672877311707,0.0,1.0,0.20246054232120514,0.0
SC-INR-NoSinc,no_sinc_response,bsd100,103070.png,x4,4,39.228922883547774,0.010928331384168639,0.03245317190885544,0.0,0.03245317190885544,False,0,nan,nan,0.050776172429323196,0.0,0.7547985315322876,0.7695070505142212,0.06353759765625,1.0,1.0,0.0,0.0,0.31537672877311707,0.0,1.0,0.20246054232120514,0.0
