dataset,model,path_type,cell_multiplier,n,weak_oracle_frac,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,cell_phase_rms,cell_phase_delta_rms_vs_native,feature_phase_rms,feature_phase_delta_rms_vs_native,analytic_response_mean,analytic_response_abs_mean,analytic_response_neg_frac,active_response_mean,active_response_abs_mean,active_response_neg_frac,active_response_delta_rms_vs_native,effective_pair_mag_mean,effective_pair_delta_rms_vs_native,effective_energy_ratio_mean,imnet_input_pair_mag_mean,imnet_input_pair_delta_rms_vs_native
urban100,LTE-PhaseZ,feature_conditioned_phase,4,5,0.0,31.035763525357474,0.030772459252447214,0.06004469320178032,0.0,0.06004469320178032,nan,nan,0.12727310955524446,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2812121003866196,0.0
urban100,SC-INR,analytic_sinc_response,1,5,0.0,25.290615705608307,0.05764483349970535,0.0,0.0,0.0,nan,nan,0.07697300240397453,0.0,0.9590301513671875,0.9590301513671875,0.0,0.9590301513671875,0.9590301513671875,0.0,0.0,0.34550384879112245,0.0,0.9246522188186646,0.22083352506160736,0.0
urban100,SC-INR,analytic_sinc_response,2,5,0.0,31.864276276883924,0.02967915452236582,0.03657789789140224,0.01126332925632596,0.038267646357417105,nan,nan,0.07697300240397453,0.0,0.8607852101325989,0.860786521434784,0.00015869140625,0.8607852101325989,0.860786521434784,0.00015869140625,0.17659450471401214,0.30315701961517333,0.11442191451787949,0.7876690030097961,0.19212290048599243,0.0800979420542717
urban100,SC-INR,analytic_sinc_response,4,5,0.0,32.19659830982149,0.026021221406965427,0.05528948903083801,0.03221936374902725,0.06004469320178032,nan,nan,0.07697300240397453,0.0,0.6659622907638549,0.7008453607559204,0.122955322265625,0.6659622907638549,0.7008453607559204,0.122955322265625,0.4412733495235443,0.23977861404418946,0.24808029234409332,0.5950719714164734,0.14877506494522094,0.17540295273065568
urban100,SC-INR-NoPhi,analytic_sinc_response,1,5,0.0,25.241251340277394,0.05819278238134147,0.0,0.0,0.0,nan,nan,nan,nan,0.9645504117012024,0.9645504117012024,0.0,0.9645504117012024,0.9645504117012024,0.0,0.0,0.7824938535690308,0.0,0.933789336681366,0.48841052055358886,0.0
urban100,SC-INR-NoPhi,analytic_sinc_response,2,5,0.0,31.67878091041261,0.03045062559611746,0.036674389615654945,0.010582882724702359,0.038267646357417105,nan,nan,nan,nan,0.8749659419059753,0.8750438809394836,0.00118408203125,0.8749659419059753,0.8750438809394836,0.00118408203125,0.15873604118824006,0.7090059041976928,0.18184714764356613,0.8013389825820922,0.4386373937129974,0.1251318261027336
urban100,SC-INR-NoPhi,analytic_sinc_response,4,5,0.0,32.66784114928252,0.025012436620583983,0.05540926530957222,0.030649699084460736,0.06004469320178032,nan,nan,nan,nan,0.6718620657920837,0.7067806363105774,0.137689208984375,0.6718620657920837,0.7067806363105774,0.137689208984375,0.4403327405452728,0.5725099503993988,0.445142936706543,0.5961979269981384,0.34537398219108584,0.31292069554328916
urban100,SC-INR-NoSinc,no_sinc_response,1,5,0.0,25.086969305711982,0.05953360035185723,0.0,0.0,0.0,nan,nan,0.06792427897453308,0.0,0.9662467479705811,0.9662467479705811,0.0,1.0,1.0,0.0,0.0,0.3699126660823822,0.0,1.0,0.23567878305912018,0.0
urban100,SC-INR-NoSinc,no_sinc_response,2,5,0.0,31.232619914266063,0.031928749316503496,0.038267646357417105,0.0,0.038267646357417105,nan,nan,0.06792427897453308,0.0,0.8919321656227112,0.8935530185699463,0.028912353515625,1.0,1.0,0.0,0.0,0.3699126660823822,0.0,1.0,0.23567878305912018,0.0
urban100,SC-INR-NoSinc,no_sinc_response,4,5,0.0,30.906266946087833,0.031152199891844017,0.06004469320178032,0.0,0.06004469320178032,nan,nan,0.06792427897453308,0.0,0.7462946534156799,0.7596261024475097,0.059674072265625,1.0,1.0,0.0,0.0,0.3699126660823822,0.0,1.0,0.23567878305912018,0.0
