model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
SC-INR,bsd100,105025.png,x30,x4,51.64218772260601,0.002617523647219404,0.004293548408895731,0.0023080992978066206,0.0014681577449664474
LTE,bsd100,106024.png,x8,x4,52.372360906271595,0.0024064783267659894,0.004846297670155764,0.005080774892121553,0.0005147655610926449
SC-INR-NoPhi,bsd100,106024.png,x8,x4,55.596246724633005,0.0016603041894777707,0.003467000788077712,0.0036432393826544285,0.00021996436407789588
SC-INR-NoPhi-Signed,bsd100,106024.png,x8,x4,56.56508724292499,0.0014850655987312385,0.0030979467555880547,0.0032464698888361454,0.0002237657317891717
SC-INR,bsd100,106024.png,x8,x4,55.825667736817515,0.001617024548712971,0.0033862742129713297,0.003527596825733781,0.0002390638692304492
LTE,bsd100,106024.png,x16,x4,46.271137794248304,0.0048578389228392345,0.009131749160587788,0.009212144650518894,0.0015780886169523
SC-INR-NoPhi,bsd100,106024.png,x16,x4,52.96563378014752,0.002247596312969755,0.004602935630828142,0.0046325381845235825,0.00041732218232937157
SC-INR-NoPhi-Signed,bsd100,106024.png,x16,x4,53.67140207096899,0.002072191540698986,0.004248531069606543,0.004308314062654972,0.0004266236210241914
SC-INR,bsd100,106024.png,x16,x4,52.162137440658796,0.0024654325641267046,0.005098319612443447,0.005114519502967596,0.0005654098931699991
LTE,bsd100,106024.png,x30,x4,39.89580262189497,0.01012068409071811,0.015808310359716415,0.010617634281516075,0.006319927051663399
SC-INR-NoPhi,bsd100,106024.png,x30,x4,48.611417972789155,0.0037104715104515277,0.006290811579674482,0.005175757221877575,0.0018267084378749132
SC-INR-NoPhi-Signed,bsd100,106024.png,x30,x4,50.45577310036169,0.0030006223860364663,0.005334014538675547,0.004070055205374956,0.0015346440486609936
SC-INR,bsd100,106024.png,x30,x4,49.899945357127294,0.003198915233982102,0.005123318172991276,0.0037718445528298616,0.0019831147510558367
LTE,bsd100,108005.png,x8,x4,46.0489571482755,0.004983702880818489,0.007921365089714527,0.007681506685912609,0.0018714078469201922
SC-INR-NoPhi,bsd100,108005.png,x8,x4,53.114858720622095,0.002209312063645677,0.004220636561512947,0.004274952691048384,0.00046089585521258414
SC-INR-NoPhi-Signed,bsd100,108005.png,x8,x4,52.93267565727825,0.002256140892297432,0.004275287501513958,0.004305064212530851,0.0005643403274007142
SC-INR,bsd100,108005.png,x8,x4,51.91157153123672,0.0025375898202800733,0.004599087871611118,0.004580766893923283,0.0007455981685779989
LTE,bsd100,108005.png,x16,x4,42.84555564910345,0.007206463935215002,0.011246688663959503,0.010683887638151646,0.0032896173652261496
SC-INR-NoPhi,bsd100,108005.png,x16,x4,53.1751475329213,0.0021940303120217474,0.003880102885887027,0.003910059109330177,0.000586301670409739
SC-INR-NoPhi-Signed,bsd100,108005.png,x16,x4,52.7714091717315,0.002298420790370713,0.004062923602759838,0.0039742011576890945,0.0007629173342138529
SC-INR,bsd100,108005.png,x16,x4,53.12553866715973,0.002206597219738777,0.003738227067515254,0.003603499149903655,0.0008792895241640508
LTE,bsd100,108005.png,x30,x4,37.39150713479907,0.013502825128435052,0.018098965287208557,0.016765102744102478,0.00868284236639738
SC-INR-NoPhi,bsd100,108005.png,x30,x4,52.06223130526198,0.0024939539765204692,0.003631695406511426,0.004137698095291853,0.0011305301450192928
SC-INR-NoPhi-Signed,bsd100,108005.png,x30,x4,51.14584230814634,0.0027714553396780417,0.004007141105830669,0.003906166646629572,0.0016081236535683274
SC-INR,bsd100,108005.png,x30,x4,52.15824022352016,0.0024665390117464218,0.0034471279941499233,0.0034733745269477367,0.0016176113858819008
LTE,bsd100,108070.png,x8,x4,47.128596988167544,0.004401190335127616,0.006531891878694296,0.006276455242186785,0.001888409722596407
SC-INR-NoPhi,bsd100,108070.png,x8,x4,56.159400204563106,0.0015560730809681376,0.0027919202111661434,0.00276624271646142,0.00047210537013597786
SC-INR-NoPhi-Signed,bsd100,108070.png,x8,x4,55.185291473115726,0.001740746081950827,0.003037487855181098,0.0029977906960994005,0.0005551214562729001
SC-INR,bsd100,108070.png,x8,x4,53.0522922132467,0.0022252837131398746,0.003702714340761304,0.0035731943789869547,0.0008059288375079632
LTE,bsd100,108070.png,x16,x4,44.610408874619296,0.005881384277981904,0.009089650586247444,0.008953599259257317,0.0025256373919546604
SC-INR-NoPhi,bsd100,108070.png,x16,x4,55.689158379965626,0.001642638815595168,0.002935118041932583,0.0029217619448900223,0.0004978313227184117
SC-INR-NoPhi-Signed,bsd100,108070.png,x16,x4,55.851050084476334,0.0016123060950950223,0.0026705116033554077,0.002634574193507433,0.0006698763463646173
SC-INR,bsd100,108070.png,x16,x4,54.287473517032666,0.0019303067269123026,0.00308301392942667,0.0029918039217591286,0.0009201226057484746
