model,dataset,scale,n,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
LTE-FeaturePhase,bsd100,x8,10,24.932156886764094,nan,0.05910912956648349,0.09881205409765244,0.10800805054605007,0.011395499727223068,0.1312141317874193,1.4712689032470576e-07,3.95123114282145e-08,6.192002382366361e-09
LTE-FeaturePhase,urban100,x16,10,20.30585457330504,nan,0.10217463611406592,0.15762125104665756,0.17937126755714417,0.03191082577686757,0.1803097829222679,1.50396049427146e-07,1.591037007652488e-08,2.453336286279335e-09
LTE-FeaturePhase,urban100,x30,10,18.668868703748366,nan,0.12245710919047963,0.17411612793803216,0.20012209564447403,0.05825523776002228,0.18252886310219765,2.665262904989575e-07,1.7684924773063007e-08,2.749067079126928e-09
LTE-FeaturePhase,urban100,x4,10,26.425118426496788,nan,0.051605876692179364,0.08869248628616333,0.09303599633276463,0.008621856686659157,0.16234295777976512,3.6342005827940786e-09,8.717903182828873e-09,2.0642521823299204e-09
LTE-FeaturePhase,urban100,x8,10,22.72424733267582,nan,0.0777129968781988,0.13086207136511802,0.1431906044483185,0.013852877099998296,0.17787733301520348,5.170735976547701e-08,1.4353898136663766e-08,2.289399189742221e-09
LTE-NoCell,bsd100,x16,10,22.77523533752979,nan,0.0749204411475299,0.11767656803131103,0.1335100419819355,0.021010292624123395,0.13388402126729487,3.8567568528302427e-07,4.5443343811451706e-08,6.973062716313447e-09
LTE-NoCell,bsd100,x30,10,20.743859116612008,nan,0.0935868431360569,0.13514478057622908,0.15646362528204918,0.03997117439284921,0.1370312198996544,9.180745149724107e-07,6.210110008527132e-08,9.47624282147717e-09
LTE-NoCell,bsd100,x4,10,27.59944654012552,nan,0.0441050890136632,0.07546612657606602,0.07939537316560745,0.008142596717516427,0.12630911357700825,1.6916138396064726e-08,3.127410677643911e-08,5.785790315376603e-09
LTE-NoCell,bsd100,x8,10,24.9251396781322,nan,0.059185159062106016,0.09894789345562457,0.10819161273539066,0.011484118667431176,0.13126612193882464,1.4781063936995624e-07,3.9606433594854774e-08,6.1936974707320084e-09
LTE-NoCell,urban100,x16,10,20.310991512823282,nan,0.10200707382063878,0.15757664069533348,0.17933572009205817,0.03103248083498329,0.18032967820763587,1.4900291761244994e-07,1.591390286687852e-08,2.453421622384248e-09
LTE-NoCell,urban100,x30,10,18.6290693631218,nan,0.12298804063485255,0.17463974803686141,0.20075737982988356,0.05869345804676414,0.1825312376022339,2.6892431737988405e-07,1.768538069789289e-08,2.749093700355074e-09
LTE-NoCell,urban100,x4,10,26.389516661516904,nan,0.0518944380241669,0.08918995931744575,0.09359311684966087,0.008663083473220468,0.1628333069384098,3.7205905910279967e-09,8.868291909967997e-09,2.0731552611250842e-09
LTE-NoCell,urban100,x8,10,22.694995225636767,nan,0.07808584908236263,0.13127215802669526,0.14368077144026756,0.014385681226849556,0.177945389598608,5.3389480997264627e-08,1.4402943962716776e-08,2.2899315275732127e-09
SC-INR-Adaptive,bsd100,x16,10,22.8110670298855,nan,0.07465437461333443,0.11775899082422256,0.13308572843670846,0.020246542314998804,0.1338692545890808,3.818466861044117e-07,4.537325041982165e-08,6.974125232443096e-09
SC-INR-Adaptive,bsd100,x30,10,20.796141927958423,nan,0.09315863837396053,0.135731340944767,0.1567623272538185,0.03814992080442607,0.1370322223752737,9.091243457368435e-07,6.208876473950663e-08,9.473418630094554e-09
SC-INR-Adaptive,bsd100,x4,10,27.672106437344677,nan,0.04380177725939004,0.07487136200070381,0.07862977497279644,0.0081139135392732,0.12548204623162745,1.705789692117588e-08,3.082783164922527e-08,5.720496837400779e-09
SC-INR-Adaptive,bsd100,x8,10,24.98013650469073,nan,0.05890152272833887,0.09863492026925087,0.10747052729129791,0.011305528116645291,0.13092918060719966,1.4739135732489e-07,3.906237142759586e-08,6.189343368590773e-09
SC-INR-Adaptive,urban100,x16,10,20.314851419886132,nan,0.10209395512531376,0.15825232416391372,0.17946377396583557,0.031144943018443883,0.18035311475396157,1.4981026858770156e-07,1.5906905715945537e-08,2.454096903198845e-09
SC-INR-Adaptive,urban100,x30,10,18.636368273294572,nan,0.12291078806305253,0.17509789317846297,0.2010494589805603,0.05815525744110346,0.18254101425409316,2.6908010512182386e-07,1.7687721856828754e-08,2.749030990331646e-09
SC-INR-Adaptive,urban100,x4,10,26.599896397335577,nan,0.050726350259365574,0.08688136860728264,0.09088199287652969,0.008598378440365196,0.15961864665150644,3.292880006591431e-09,8.560893424446437e-09,2.004025818487808e-09
SC-INR-Adaptive,urban100,x8,10,22.741061057276386,nan,0.07759999572393958,0.1309141620993614,0.14274877533316613,0.013710160669870675,0.1776249561458826,5.205599519369404e-08,1.429877187333883e-08,2.290063927860747e-09
SC-INR-Fixed,bsd100,x16,10,22.766129611685862,nan,0.0750543876172221,0.11850998252630233,0.1338239975273609,0.02057493992615491,0.13386565819382668,3.8885809648760466e-07,4.5387548497073454e-08,6.973324191407649e-09
SC-INR-Fixed,bsd100,x30,10,20.734934156966002,nan,0.09373835504454106,0.13607737123966218,0.1572349414229393,0.03885083016939461,0.13702921606600285,9.233994952454436e-07,6.20947802665706e-08,9.473033314001655e-09
