model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
LTE-NoCell,urban100,img_005.png,x16,19.363758465227562,nan,0.10759995178831804,0.20049692690372467,0.21314316987991333,0.011321663856506348,0.14909708499908447,1.597589029541653e-07,1.2312317628876031e-08,1.1292999111647328e-09
LTE-FeaturePhase,urban100,img_005.png,x16,19.287943074360577,nan,0.10854325629984336,0.2031325101852417,0.21586956083774567,0.012333476915955544,0.14905805885791779,1.6381204407876333e-07,1.229062524459045e-08,1.1285300659917867e-09
SC-INR-Fixed,urban100,img_005.png,x16,19.256681997773853,nan,0.10893461431346073,0.20445773005485535,0.21614018082618713,0.01306489109992981,0.1491696834564209,1.6531495006626302e-07,1.2319449298599446e-08,1.130586177202438e-09
SC-INR-Adaptive,urban100,img_005.png,x16,19.379235999571737,nan,0.10740838833157304,0.2015329748392105,0.21287143230438232,0.013292839750647545,0.1490749716758728,1.5905798767469663e-07,1.2287641705117446e-08,1.1307499774125019e-09
Bicubic,urban100,img_005.png,x30,16.049455456055853,nan,0.15758948171237536,0.23350311815738678,0.2554018497467041,0.08587533235549927,0.15241733193397522,4.560511431839684e-07,1.412848791250287e-08,1.3075566654365242e-09
LIIF,urban100,img_005.png,x30,16.548847203136987,nan,0.14878448286993043,0.24565298855304718,0.26502978801727295,0.052708275616168976,0.15241558849811554,3.9843869910281826e-07,1.413208238632139e-08,1.308178655868555e-09
LTE,urban100,img_005.png,x30,16.65881663767864,nan,0.1469126417237897,0.2465544492006302,0.26537373661994934,0.04610107094049454,0.1524028480052948,3.8664933105303527e-07,1.4128200786586754e-08,1.3070358907198493e-09
LTE-NoCell,urban100,img_005.png,x30,16.681424667351166,nan,0.1465307480206945,0.24241551756858826,0.26187074184417725,0.05176158621907234,0.1524258702993393,3.841925445519944e-07,1.4138822348898735e-08,1.3090111925348757e-09
LTE-FeaturePhase,urban100,img_005.png,x30,16.764957115967146,nan,0.1451283120759814,0.24165402352809906,0.26068466901779175,0.05037524551153183,0.1524105668067932,3.754959057257243e-07,1.4132757524693954e-08,1.307996487980464e-09
SC-INR-Fixed,urban100,img_005.png,x30,16.680190222702162,nan,0.14655157455195866,0.24383759498596191,0.26269644498825073,0.05066678673028946,0.1524444818496704,3.843107275843285e-07,1.4141853666393892e-08,1.3088599012671358e-09
