model,dataset,scale,n,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
SC-INR-NoPhi,bsd100,x4,10,27.672102466191678,0.8195878226315448,0.043801807912940464,0.07487139627337455,0.07862984612584115,0.00811392033356242,0.12548216357827185,1.705755350514449e-08,3.0827985180873776e-08,5.720501898096689e-09
SC-INR-NoPhi,bsd100,x8,10,24.98013650469073,0.6650044102828668,0.05890152272833887,0.09863491952419282,0.10747052729129791,0.011305528113734909,0.13092917911708354,1.4739135724902943e-07,3.906237142449175e-08,6.189343376952793e-09
SC-INR-NoPhi,urban100,x16,10,20.314853073088877,0.47915000272396774,0.10209397651354173,0.15825250074267389,0.17946387678384781,0.03114492690656334,0.18035313487052917,1.498103892929852e-07,1.5906909353314147e-08,2.4540970579047277e-09
SC-INR-NoPhi,urban100,x30,10,18.63636835989541,0.35949131959169556,0.12291078735813565,0.17509789317846297,0.20104946047067643,0.05815525744110346,0.18254101350903512,2.6908010518626073e-07,1.768772186133325e-08,2.74903098964588e-09
SC-INR-NoPhi,urban100,x4,10,26.59989026213946,0.8546504717719982,0.050726375261668136,0.08688135407865047,0.09088198505342007,0.00859838656615466,0.15961873903870583,3.292840799411175e-09,8.560904693389759e-09,2.004028630780641e-09
SC-INR-NoPhi,urban100,x8,10,22.741046019671707,0.6792790952028375,0.07760015583700434,0.13091452270746232,0.1427490569651127,0.01371022907551378,0.1776249971240759,5.2056569831124027e-08,1.4298763269882854e-08,2.2900639500566402e-09
SC-INR-NoPhi-Signed,bsd100,x16,10,22.800509064201634,0.5109552631590084,0.07472019891221293,0.1178317129611969,0.13321974128484726,0.020357239921577275,0.1338607806712389,3.828025714946219e-07,4.536431209973166e-08,6.974019477696467e-09
SC-INR-NoPhi-Signed,bsd100,x30,10,20.780508541234067,0.41962677014788696,0.09318824040052605,0.13578221946954727,0.15691575333476065,0.038207891304045914,0.1370333082973957,9.071737410475763e-07,6.210350517196644e-08,9.477823350862623e-09
SC-INR-NoPhi-Signed,bsd100,x4,10,27.66627343162499,0.819014808313916,0.043815016058093854,0.07490024380385876,0.07866220474243164,0.008129125834966545,0.1254322536289692,1.7112649622083757e-08,3.0836844827414284e-08,5.715844748224155e-09
SC-INR-NoPhi-Signed,bsd100,x8,10,24.97744922282995,0.6650367457273695,0.05888091272160273,0.09853022992610931,0.10744002386927605,0.011333178071072324,0.13091045022010803,1.4685242127552988e-07,3.907867752127752e-08,6.184552610271869e-09
SC-INR-NoPhi-Signed,urban100,x16,10,20.312224091962946,0.4793977935845154,0.1022356035894429,0.15791130438446999,0.17928736954927443,0.031985223712399605,0.18033768609166145,1.5116204530981357e-07,1.590749173337653e-08,2.454310774096977e-09
SC-INR-NoPhi-Signed,urban100,x30,10,18.632102029943773,0.35935355764747096,0.1230615451104224,0.1748803250491619,0.20079174935817717,0.058414002135396006,0.18253822848200799,2.700662870703809e-07,1.7687499322970237e-08,2.74911859283946e-09
SC-INR-NoPhi-Signed,urban100,x4,10,26.56629250686273,0.8542690695401445,0.05085968261451503,0.08720631450414658,0.09118829779326916,0.008600075100548565,0.15997737348079683,3.297724281370966e-09,8.582289347805075e-09,2.006407445411585e-09
