model,dataset,image,lr_scale,observation_scale,ref_scale,mean_y,std_y,rmse_y_vs_ref_cell,rmse_y_vs_previous_cell
LTE,bsd100,103070.png,x4,x24,x4,0.3024897277355194,0.11887568235397339,0.0037055504508316517,0.0006636026664637029
LTE,bsd100,103070.png,x4,x30,x4,0.30242523550987244,0.11883164942264557,0.003943447023630142,0.00028396304696798325
SC-INR-NoPhi,bsd100,103070.png,x4,x4,x4,0.30370646715164185,0.11904538422822952,0.0,nan
SC-INR-NoPhi,bsd100,103070.png,x4,x6,x4,0.30361437797546387,0.1191113218665123,0.0006928726797923446,0.0006928726797923446
SC-INR-NoPhi,bsd100,103070.png,x4,x8,x4,0.3035815954208374,0.11912959069013596,0.0009046694613061845,0.00023162623983807862
SC-INR-NoPhi,bsd100,103070.png,x4,x12,x4,0.3035570979118347,0.11914125829935074,0.0010502133518457413,0.00016795018746051937
SC-INR-NoPhi,bsd100,103070.png,x4,x16,x4,0.30354851484298706,0.11914557963609695,0.0011001650709658861,5.8586912928149104e-05
SC-INR-NoPhi,bsd100,103070.png,x4,x24,x4,0.30354252457618713,0.11914864927530289,0.001135049620643258,4.1360042814631015e-05
SC-INR-NoPhi,bsd100,103070.png,x4,x30,x4,0.30354079604148865,0.11914954334497452,0.001144977635703981,1.1807666851382237e-05
SC-INR-NoPhi-Signed,bsd100,103070.png,x4,x4,x4,0.3036383092403412,0.11888206005096436,0.0,nan
SC-INR-NoPhi-Signed,bsd100,103070.png,x4,x6,x4,0.303500235080719,0.11896143108606339,0.0007201581029221416,0.0007201581029221416
SC-INR-NoPhi-Signed,bsd100,103070.png,x4,x8,x4,0.3034532368183136,0.11899435520172119,0.000945761741604656,0.00024043543089646846
SC-INR-NoPhi-Signed,bsd100,103070.png,x4,x12,x4,0.3034203350543976,0.11902029812335968,0.0010957340709865093,0.00016429925744887441
SC-INR-NoPhi-Signed,bsd100,103070.png,x4,x16,x4,0.30340898036956787,0.11902979761362076,0.0011466264259070158,5.65858390473295e-05
SC-INR-NoPhi-Signed,bsd100,103070.png,x4,x24,x4,0.30340078473091125,0.11903654783964157,0.001182412845082581,4.003310459665954e-05
SC-INR-NoPhi-Signed,bsd100,103070.png,x4,x30,x4,0.3033984303474426,0.11903845518827438,0.0011926119914278388,1.1532123608049005e-05
SC-INR,bsd100,103070.png,x4,x4,x4,0.3036186099052429,0.11904847621917725,0.0,nan
SC-INR,bsd100,103070.png,x4,x6,x4,0.3034632205963135,0.11919128894805908,0.0007996017229743302,0.0007996017229743302
SC-INR,bsd100,103070.png,x4,x8,x4,0.30340802669525146,0.11924100667238235,0.0010329181095585227,0.0002532477374188602
SC-INR,bsd100,103070.png,x4,x12,x4,0.30337223410606384,0.1192762553691864,0.0011839494109153748,0.00017526987357996404
SC-INR,bsd100,103070.png,x4,x16,x4,0.3033605217933655,0.11928816139698029,0.0012354947393760085,6.209507409948856e-05
SC-INR,bsd100,103070.png,x4,x24,x4,0.3033522665500641,0.11929632723331451,0.0012720918748527765,4.3957425077678636e-05
SC-INR,bsd100,103070.png,x4,x30,x4,0.30334991216659546,0.11929871141910553,0.0012825962621718645,1.2654571037273854e-05
SC-INR-NoSinc,bsd100,103070.png,x4,x4,x4,0.30388355255126953,0.11872939765453339,0.0,nan
SC-INR-NoSinc,bsd100,103070.png,x4,x6,x4,0.30388355255126953,0.11872939765453339,0.0,0.0
SC-INR-NoSinc,bsd100,103070.png,x4,x8,x4,0.30388355255126953,0.11872939765453339,0.0,0.0
SC-INR-NoSinc,bsd100,103070.png,x4,x12,x4,0.30388355255126953,0.11872939765453339,0.0,0.0
SC-INR-NoSinc,bsd100,103070.png,x4,x16,x4,0.30388355255126953,0.11872939765453339,0.0,0.0
SC-INR-NoSinc,bsd100,103070.png,x4,x24,x4,0.30388355255126953,0.11872939765453339,0.0,0.0
SC-INR-NoSinc,bsd100,103070.png,x4,x30,x4,0.30388355255126953,0.11872939765453339,0.0,0.0
LTE,bsd100,105025.png,x4,x4,x4,0.6144505739212036,0.18563976883888245,0.0,nan
LTE,bsd100,105025.png,x4,x6,x4,0.6144570112228394,0.1859661042690277,0.0014922013506293297,0.0014922013506293297
LTE,bsd100,105025.png,x4,x8,x4,0.6143442392349243,0.1861056238412857,0.0022923194337636232,0.0009549956885166466
LTE,bsd100,105025.png,x4,x12,x4,0.6141024827957153,0.1861826479434967,0.0032147858291864395,0.0012147350935265422
LTE,bsd100,105025.png,x4,x16,x4,0.6139274835586548,0.1861853152513504,0.003785825101658702,0.0007486917893402278
LTE,bsd100,105025.png,x4,x24,x4,0.613714337348938,0.18616236746311188,0.004443611484020948,0.0008402614621445537
LTE,bsd100,105025.png,x4,x30,x4,0.6136195659637451,0.18614618480205536,0.0047356802970170975,0.00036491890205070376
