model,dataset,observation_scale,n,mean_y,std_y,rmse_y_vs_ref_cell,rmse_y_vs_previous_cell
SC-INR-NoPhi-Signed,urban100,x16,5,0.3294329047203064,0.21426159143447876,0.004442225256934762,0.000211263689561747
SC-INR-NoPhi-Signed,urban100,x24,5,0.3294211685657501,0.21427154839038848,0.004567010095342994,0.00015006220055511222
SC-INR-NoPhi-Signed,urban100,x30,5,0.329417759180069,0.21427433490753173,0.004602482635527849,4.318937062635087e-05
SC-INR-NoPhi-Signed,urban100,x4,5,0.3296911001205444,0.2138165444135666,0.0,nan
SC-INR-NoPhi-Signed,urban100,x6,5,0.32954442501068115,0.21411278247833251,0.0028746748343110085,0.0028746748343110085
SC-INR-NoPhi-Signed,urban100,x8,5,0.3294911623001099,0.21419807374477387,0.003719604481011629,0.0009110565530136228
SC-INR-NoSinc,bsd100,x12,5,0.42761388421058655,0.18553396463394164,0.0,0.0
SC-INR-NoSinc,bsd100,x16,5,0.42761388421058655,0.18553396463394164,0.0,0.0
SC-INR-NoSinc,bsd100,x24,5,0.42761388421058655,0.18553396463394164,0.0,0.0
SC-INR-NoSinc,bsd100,x30,5,0.42761388421058655,0.18553396463394164,0.0,0.0
SC-INR-NoSinc,bsd100,x4,5,0.42761388421058655,0.18553396463394164,0.0,nan
SC-INR-NoSinc,bsd100,x6,5,0.42761388421058655,0.18553396463394164,0.0,0.0
SC-INR-NoSinc,bsd100,x8,5,0.42761388421058655,0.18553396463394164,0.0,0.0
SC-INR-NoSinc,urban100,x12,5,0.3302975416183472,0.21379559934139253,0.0,0.0
SC-INR-NoSinc,urban100,x16,5,0.3302975416183472,0.21379559934139253,0.0,0.0
SC-INR-NoSinc,urban100,x24,5,0.3302975416183472,0.21379559934139253,0.0,0.0
SC-INR-NoSinc,urban100,x30,5,0.3302975416183472,0.21379559934139253,0.0,0.0
SC-INR-NoSinc,urban100,x4,5,0.3302975416183472,0.21379559934139253,0.0,nan
SC-INR-NoSinc,urban100,x6,5,0.3302975416183472,0.21379559934139253,0.0,0.0
SC-INR-NoSinc,urban100,x8,5,0.3302975416183472,0.21379559934139253,0.0,0.0
